"","DBA","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","GRADE","ADDRESS","lon","lat"
"385","SILVER STAR RESTAURANT","1236","2 AVENUE",10065,"2122494250","American","A","1236, 2 AVENUE, New York, NY",NA,NA
"386","SPUNTO","65","CARMINE STREET",10014,"2122421200","Pizza/Italian","A","65, CARMINE STREET, New York, NY",-74.0046957,40.7298592
"387","BOOTS AND SADDLE","100A","7TH AVE S",10014,"6468924800","American","A","100A, 7TH AVE S, New York, NY",-74.0034275,40.7329801
"388","HAWA SMOOTHIE","422","E 14 ST",10009,"9176409569","Juice, Smoothies, Fruit Salads","A","422, E 14 ST, New York, NY",-73.9816026,40.7306377
"389","MAUI ONION","35","W 26TH ST",10010,"9176861859","Hawaiian","P","35, W 26TH ST, New York, NY",-73.9902226,40.744514
"390","MORRELL WINE BAR & CAFE","14","WEST   49 STREET",10020,"2122627700","American","A","14, WEST   49 STREET, New York, NY",-73.9786569,40.758197
"391","JUPIOCA","123","W 3RD ST",10012,"9172425750","Juice, Smoothies, Fruit Salads","A","123, W 3RD ST, New York, NY",-74.0003803,40.7307534
"392","CLUB A STEAKHOUSE","240","EAST   58 STREET",10022,"2126884190","Steak","A","240, EAST   58 STREET, New York, NY",-73.9655781,40.7600512
"393","RASA","25","W 8TH ST",10011,"2122539888","Asian",NA,"25, W 8TH ST, New York, NY",-73.9976257,40.7330269
"394","JOHNY'S LUNCHEONETTE","124","WEST   25 STREET",10001,"2122436230","American",NA,"124, WEST   25 STREET, New York, NY",-73.9930806,40.7444273
"395","FOOD GALLERY 32","11","W 32ND ST",10001,"2129671678","Korean","B","11, W 32ND ST, New York, NY",NA,NA
"396","YUMMY THAI","4959","BROADWAY",10034,"9175290811","Thai",NA,"4959, BROADWAY, New York, NY",-73.9206083,40.8681495
"397","THE BEST OF NEW YORK FOOD","150","WATER ST",10005,"2129521890","American","A","150, WATER ST, New York, NY",-74.0060591,40.7064287
"398","THE WILLIAMS MEMORIAL RESIDENCE","720","WEST END AVENUE",10025,"2123166000","American","A","720, WEST END AVENUE, New York, NY",-73.9732232,40.7947188
"399","THE PRINCETON CLUB","15","WEST   43 STREET",10036,"2125961272","American",NA,"15, WEST   43 STREET, New York, NY",-73.9812527,40.7546787
"400","YEE LI RESTAURANT","43103","ELIZABETH STREET",10013,"2122193686","Chinese","A","43103, ELIZABETH STREET, New York, NY",NA,NA
"401","CHINA TASTE","1570","2ND AVE",10028,"2126500189","Chinese",NA,"1570, 2ND AVE, New York, NY",-73.9535933,40.7748989
"402","JUNOON","27","WEST   24 STREET",10010,"2124902100","Indian","A","27, WEST   24 STREET, New York, NY",-73.990838,40.743193
"403","JOSIE'S BAR","520","EAST    6 STREET",10009,"2122289532","American",NA,"520, EAST    6 STREET, New York, NY",-73.9829455,40.7248339
"404","LA TRATTORIA","844","2 AVENUE",10017,"2126835656","Pizza",NA,"844, 2 AVENUE, New York, NY",-73.970671,40.7515735
"405","TU CACHAPA","4195","BROADWAY",10033,"2125687575","Spanish","A","4195, BROADWAY, New York, NY",NA,NA
"406","NEW YORK INSTITUTE OF TECHNOLOGY","1849","BROADWAY",10023,"6462736082","American","A","1849, BROADWAY, New York, NY",-73.9826606,40.7695832
"407","CROWN FRIED CHICKEN","1867","LEXINGTON AVENUE",10029,"2129962651","Chicken",NA,"1867, LEXINGTON AVENUE, New York, NY",-73.9416842,40.7982574
"408","GATSBY'S","53","SPRING STREET",10012,"2123344430","American",NA,"53, SPRING STREET, New York, NY",-73.9965239,40.7223292
"409","PIEZANO PIZZA","94","NAGLE AVE",10040,"9175045541","Pizza","A","94, NAGLE AVE, New York, NY",-73.9277388,40.8607496
"410","QUIZNO'S SUBS","304","WEST 34 STREET",10001,"2127364400","Sandwiches",NA,"304, WEST 34 STREET, New York, NY",-73.9944853,40.7522148
"411","BONCHON","325","5TH AVE",10016,"2126868282","Korean",NA,"325, 5TH AVE, New York, NY",NA,NA
"412","GONG CHA","1","CATHERINE ST",10038,"2123437019","Caf̩/Coffee/Tea","A","1, CATHERINE ST, New York, NY",NA,NA
"413","BOULEY BOTANICAL","35","WHITE ST",10013,"2129642525","French","A","35, WHITE ST, New York, NY",NA,NA
"414","AL HORNO LEAN MEXICAN KITCHEN","57","1ST AVE",10003,"6466093762","Mexican",NA,"57, 1ST AVE, New York, NY",-73.9874335,40.7250557
"415","STROMBOLI PIZZA","83","ST MARKS PLACE",10003,"2126733691","Pizza",NA,"83, ST MARKS PLACE, New York, NY",-73.9853674,40.7278516
"416","BONCHON","207","WEST   38 STREET",10018,"2122213339","Chicken",NA,"207, WEST   38 STREET, New York, NY",-73.9891745,40.7537446
"417","WING BISTRO","1109","1ST AVE",10065,"9174751153","American","A","1109, 1ST AVE, New York, NY",NA,NA
"418","NOCHE MEXICANA II","842","AMSTERDAM AVENUE",10025,"2126626900","Mexican","A","842, AMSTERDAM AVENUE, New York, NY",-73.968268,40.797478
"419","GRAND SICHUAN","229","9TH AVE",10001,"2126205200","Chinese","C","229, 9TH AVE, New York, NY",NA,NA
"420","BURGER KING","106","FULTON STREET",10038,"2125665132","Hamburgers","A","106, FULTON STREET, New York, NY",NA,NA
"421","ROSIE O'GRADY RESTAURANT","800","7 AVENUE",10019,"2125822975","Irish","A","800, 7 AVENUE, New York, NY",NA,NA
"422","POKEWORKS (Entrance is on 41st street between Lexington & Park)","122","E 42ND ST",10168,"6466539793","Hawaiian",NA,"122, E 42ND ST, New York, NY",-73.976591,40.7511977
"423","ICHI UMI","6","EAST   32 STREET",10016,"2127251333","Japanese",NA,"6, EAST   32 STREET, New York, NY",NA,NA
"424","LUCY'S WHEY","1417","LEXINGTON AVE",10128,"2122898900","American","A","1417, LEXINGTON AVE, New York, NY",-73.952288,40.783651
"425","IRON SUSHI","355","EAST   78 STREET",10075,"2127727680","Japanese",NA,"355, EAST   78 STREET, New York, NY",NA,NA
"426","WHITE & CASE COFFEE BAR & PANTRY","1221","AVENUE OF THE AMERICAS",10020,"6468852175","American","A","1221, AVENUE OF THE AMERICAS, New York, NY",-73.9822224,40.7594248
"427","ROCKMEISHA","11","BARROW STREET",10014,"2126757775","Japanese",NA,"11, BARROW STREET, New York, NY",-74.0023197,40.7325291
"428","FRUCES","1496","AMSTERDAM AVE",10031,"6468843016","Juice, Smoothies, Fruit Salads",NA,"1496, AMSTERDAM AVE, New York, NY",-73.9530882,40.8182481
"429","LA LANTERNA DI VITTORIO","129","MACDOUGAL STREET",10012,"2125295945","Italian","A","129, MACDOUGAL STREET, New York, NY",-74.0001471,40.7307088
"430","YU SUSHI","827","WEST  181 STREET",10033,"2127818833","Japanese",NA,"827, WEST  181 STREET, New York, NY",-73.9395157,40.8514155
"431","765 FOOD MARKET","765","2 AVENUE",10017,"2126976080","Delicatessen",NA,"765, 2 AVENUE, New York, NY",-73.9729402,40.7491569
"432","OLD MAN HUSTLE","39","ESSEX ST",10002,"2122537747","American",NA,"39, ESSEX ST, New York, NY",-73.9897278,40.7162487
"433","ALOAF CAFE","170","E 110TH ST",10029,"2128288896","Bakery",NA,"170, E 110TH ST, New York, NY",NA,NA
"434","CRIMSON & RYE","198","E 54TH ST",10022,"2126876692","American","A","198, E 54TH ST, New York, NY",NA,NA
"435","THIRD RAIL COFFEE","159","2ND AVENUE",10003,"2126197808","Caf̩/Coffee/Tea",NA,"159, 2ND AVENUE, New York, NY",-73.987158,40.7298046
"436","HAMPTON INN","851","8 AVENUE",10019,"2125814100","American","A","851, 8 AVENUE, New York, NY",-73.9857748,40.7634386
"437","TRIONA'S","237","SULLIVAN STREET",10012,"2129825222","Irish",NA,"237, SULLIVAN STREET, New York, NY",-73.9993702,40.7298302
"438","MARGAUX","5","W. 8TH STREET",10011,"2123210111","American","A","5, W. 8TH STREET, New York, NY",NA,NA
"439","ANOTHEROOM","249","WEST BROADWAY",10013,"2122261418","American",NA,"249, WEST BROADWAY, New York, NY",-74.0055057,40.7198452
"440","CLUB WYNN - GERA GERA","238","EAST 53 STREET",10022,"2128880558","Asian","B","238, EAST 53 STREET, New York, NY",-73.9680806,40.7569531
"441","ALICES TEA CUP CHAPTER 2","156","EAST   64 STREET",10065,"2124869200","American","P","156, EAST   64 STREET, New York, NY",-73.9658192,40.765092
"442","BIG APPLE CAFE","891","AMSTERDAM AVENUE",10025,"9737221147","Caf̩/Coffee/Tea",NA,"891, AMSTERDAM AVENUE, New York, NY",-73.9666112,40.7986383
"443","BARN JOO 35","34","W 35TH ST",10001,"2125644430","Korean",NA,"34, W 35TH ST, New York, NY",-73.9858151,40.7496592
"444","UNCLE TED'S","163","BLEECKER STREET",10012,"2127771395","Chinese","B","163, BLEECKER STREET, New York, NY",-73.9999671,40.7287642
"445","DIRTY FRENCH","180","LUDLOW ST",10002,"2122543000","French",NA,"180, LUDLOW ST, New York, NY",-73.9872039,40.7218567
"446","MCDONALD'S","280","MADISON AVE",10016,"2125761539","Hamburgers",NA,"280, MADISON AVE, New York, NY",-73.9805497,40.7514664
"447","BUCA/BUCHETTA","201","WEST  103 STREET",10025,"2125318730","Pizza/Italian","A","201, WEST  103 STREET, New York, NY",-73.9673646,40.7987416
"448","POPEYES LOUISIANA KITCHEN","601","WEST  172 STREET",10032,"2127811570","Chicken",NA,"601, WEST  172 STREET, New York, NY",-73.9382718,40.8437622
"449","MAY WAH FAST FOOD","190","HESTER STREET",10013,"2129256776","Chinese","A","190, HESTER STREET, New York, NY",NA,NA
"450","LA MAISON DU CROQUE MONSIEUR","17","EAST   13 STREET",10003,"2126752227","French","A","17, EAST   13 STREET, New York, NY",-73.9930003,40.735006
"451","SHU HAN JU AUTHENTIC CHINESE CUISINE","465","6TH AVE",10011,"2124288800","Chinese",NA,"465, 6TH AVE, New York, NY",NA,NA
"452","DANIEL","60","EAST   65 STREET",10065,"2122880088","French","A","60, EAST   65 STREET, New York, NY",-73.9677689,40.7666933
"453","THE MUFFIN CAFE","222","COLUMBUS AVENUE",10023,"2128751173","Caf̩/Coffee/Tea",NA,"222, COLUMBUS AVENUE, New York, NY",-73.979835,40.7763295
"454","TOMOE SUSHI","172","THOMPSON STREET",10012,"2127779346","Japanese","A","172, THOMPSON STREET, New York, NY",-74.0001023,40.7276736
"455","SUBWAY","1523","YORK AVENUE",10028,"2126495128","Sandwiches","A","1523, YORK AVENUE, New York, NY",-73.9499706,40.7725726
"456","ASIAN 59","207","E 59TH ST",10022,"2123714777","Chinese/Japanese","B","207, E 59TH ST, New York, NY",NA,NA
"457","NIOS RESTAURANT","130","WEST   46 STREET",10036,"2124852400","American",NA,"130, WEST   46 STREET, New York, NY",NA,NA
"458","SWINE","531","HUDSON STREET",10014,"2122557675","American",NA,"531, HUDSON STREET, New York, NY",-74.0064861,40.7342444
"459","SPREADS","441","PARK AVENUE SOUTH",10016,"2127585555","American",NA,"441, PARK AVENUE SOUTH, New York, NY",-73.9830259,40.7443515
"460","EL JAYA RESTAURANT","8385","AUDUBON AVENUE",10032,"2129271535","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","A","8385, AUDUBON AVENUE, New York, NY",-73.9328548,40.8480534
"461","MCDONALD'S","160","BROADWAY",10038,"2123852063","Hamburgers","A","160, BROADWAY, New York, NY",-74.009975,40.7093664
"462","107 WEST RESTAURANT","2787","BROADWAY",10025,"2128641555","American",NA,"2787, BROADWAY, New York, NY",NA,NA
"463","ROYAL BANGLADESH INDIAN RESTAURANT","93","1 AVENUE",10003,"2126746209","Bangladeshi","A","93, 1 AVENUE, New York, NY",-73.9865701,40.7262841
"464","MOONSTRUCK (IN BELLEVUE)","462","1ST AVE",10016,"6466495304","American","C","462, 1ST AVE, New York, NY",-73.9750139,40.7390642
"465","SARABETH'S KITCHEN","1295","MADISON AVENUE",10128,"2124107335","American","A","1295, MADISON AVENUE, New York, NY",NA,NA
"466","SUBWAY","21","EAST  118 STREET",10035,"2122890114","Sandwiches","A","21, EAST  118 STREET, New York, NY",-73.9440876,40.8015075
"467","THE HELEN HAYES THEATRE","240","WEST   44 STREET",10036,"2123023297","American",NA,"240, WEST   44 STREET, New York, NY",NA,NA
"468","HIGH STREET ON HUDSON","637","HUDSON ST",10014,"9173883944","American",NA,"637, HUDSON ST, New York, NY",-74.0057401,40.7388972
"469","BODEGA NEGRA","355","WEST   16 STREET",10011,"2122292336","Mexican","A","355, WEST   16 STREET, New York, NY",NA,NA
"470","RICE & BEANS RESTAURANT","744","9 AVENUE",10019,"2122654444","Brazilian","A","744, 9 AVENUE, New York, NY",NA,NA
"471","DOUGH BOYS PIZZA","451","3RD AVE",10016,"9178375117","Pizza",NA,"451, 3RD AVE, New York, NY",NA,NA
"472","ABACE SUSHI","695","9TH AVE",10036,"2129771777","Japanese",NA,"695, 9TH AVE, New York, NY",-73.9901882,40.7621569
"473","JOEY PEPPERONI PIZZA","381","BROADWAY",10013,"2122193555","Pizza",NA,"381, BROADWAY, New York, NY",-74.0032079,40.7182337
"474","SWEETGREEN","311","AMSTERDAM AVE",10023,"2124964081","American",NA,"311, AMSTERDAM AVE, New York, NY",-73.9802091,40.7802668
"475","CROWN FRIED CHICKEN","2459","8TH AVE",10027,"7183537104","Chicken","A","2459, 8TH AVE, New York, NY",NA,NA
"476","DHAULAGIRI KITCHEN","124","LEXINGTON AVE",10016,"9176757679","Asian","B","124, LEXINGTON AVE, New York, NY",NA,NA
"477","H-YARD GOURMET DELI","450","9TH AVE",10018,"2128372896","Delicatessen","B","450, 9TH AVE, New York, NY",-73.9955139,40.7540748
"478","CANDLE CAFE WEST","2427","BROADWAY",10024,"2127698900","Vegetarian","A","2427, BROADWAY, New York, NY",NA,NA
"479","DUNKIN' DONUTS","638","LEXINGTON AVENUE",10022,"2126445848","Donuts","A","638, LEXINGTON AVENUE, New York, NY",-73.970623,40.7592511
"480","ENTWINE","765","WASHINGTON STREET",10014,"2127278765","American","A","765, WASHINGTON STREET, New York, NY",NA,NA
"481","ACOSTA RESTAURANT","934","AMSTERDAM AVENUE",10025,"2122802130","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","A","934, AMSTERDAM AVENUE, New York, NY",-73.9660208,40.8003949
"482","THE BENNETT","134","WEST BROADWAY",10013,"2129029671","Continental","A","134, WEST BROADWAY, New York, NY",-74.0084142,40.7169087
"483","RAMEN TAKUMI","1","UNIVERSITY PL",10003,"2122292752","Japanese","Z","1, UNIVERSITY PL, New York, NY",-73.9952208,40.730835
"484","CHECKERS","225","1ST AVE",10003,"2127771115","Hamburgers",NA,"225, 1ST AVE, New York, NY",-73.9831177,40.7310072
"485","ABC COCINA / ABCV","38","EAST 19 STREET",10003,"2126772233","French",NA,"38, EAST 19 STREET, New York, NY",NA,NA
"486","TEXAS ROTISSERIE","1315","1ST AVE",10021,"2123960700","American",NA,"1315, 1ST AVE, New York, NY",-73.9569454,40.7669268
"487","FIVE SENSES","9","W 32ND ST",10001,"2124410005","Korean",NA,"9, W 32ND ST, New York, NY",-73.9860561,40.7477152
"488","FUJI JAPANESE RESTAURANT","238","WEST   56 STREET",10019,"2125869888","Japanese",NA,"238, WEST   56 STREET, New York, NY",NA,NA
"489","DON PEPI PIZZA","0","PENN STATION",10001,"2129674385","Pizza","A","0, PENN STATION, New York, NY",-73.993519,40.750568
"490","Kennedy's Chicken & Grill","2083","AMSTERDAM AVE",10032,"9176248039","Chicken",NA,"2083, AMSTERDAM AVE, New York, NY",-73.9389632,40.8365205
"491","MARIACHI'S RESTAURANT","156","CHAMBERS ST",10007,"2125283175","Mexican",NA,"156, CHAMBERS ST, New York, NY",NA,NA
"492","LIFECAFE","605","W 42ND ST",10036,"2125641300","Juice, Smoothies, Fruit Salads","A","605, W 42ND ST, New York, NY",-73.999089,40.7611241
"493","PADDY MAGUIRE'S ALE HOUSE","237","THIRD AVENUE",10003,"2122530031","Bottled beverages, including water, sodas, juices, etc.",NA,"237, THIRD AVENUE, New York, NY",-73.9844607,40.7366319
"494","FITZGERALD'S PUB","336","THIRD AVENUE",10010,"2126796931","American","A","336, THIRD AVENUE, New York, NY",-73.9826277,40.7401599
"495","TASTI D-LITE","1221","3 AVENUE",10021,"2122887088","Ice Cream, Gelato, Yogurt, Ices","A","1221, 3 AVENUE, New York, NY",-73.9610138,40.7686457
"496","BRAVO PIZZA","115","EAST   14 STREET",10003,"2122532220","Pizza","A","115, EAST   14 STREET, New York, NY",-73.9889546,40.7342212
"497","LA EXCELENCIA EMPANADAS MONUMENTAL","522","W 207TH ST",10034,"2125675241","Spanish","B","522, W 207TH ST, New York, NY",-73.9199182,40.8651033
"498","LIQUITERIA","170","2ND AVE",10003,"6466718131","Juice, Smoothies, Fruit Salads","A","170, 2ND AVE, New York, NY",NA,NA
"499","BROADWAY CAFE","1123","BROADWAY",10010,"2127279797","Delicatessen","B","1123, BROADWAY, New York, NY",-73.989291,40.7433495
"500","THE BROOK","111","EAST   54 STREET",10022,"2127537020","American","A","111, EAST   54 STREET, New York, NY",NA,NA
"501","CHARTWELLS @ MANHATTAN SCHOOL OF MUSIC","120","CLAREMONT AVENUE",10027,"9174934442","American","A","120, CLAREMONT AVENUE, New York, NY",-73.9612848,40.8124557
"502","EUROPA CAFE","1177","AVENUE OF THE AMERICAS",10036,"2125757272","Caf̩/Coffee/Tea",NA,"1177, AVENUE OF THE AMERICAS, New York, NY",-73.9828652,40.7572778
"503","WAT'S ON YOUR PLATE","513","WEST  145 STREET",10031,"2122344411","Caribbean",NA,"513, WEST  145 STREET, New York, NY",-73.9484502,40.8257982
"504","HOLY MOLY (JESUS' TACO)","501","WEST 145 ST",10031,"2122343330","Tex-Mex","A","501, WEST 145 ST, New York, NY",-73.9478532,40.825559
"505","DRUNKEN HORSE","225","10 AVENUE",10011,"2126040505","American",NA,"225, 10 AVENUE, New York, NY",-74.0042022,40.74806
"506","LEDERHOSEN RESTAURANT","39","GROVE STREET",10014,"2122067691","German",NA,"39, GROVE STREET, New York, NY",-74.0045082,40.7329151
"507","SIMPLY FOOD","5","WEST   51 STREET",10019,"2129776641","American","A","5, WEST   51 STREET, New York, NY",-73.9774833,40.7596076
"508","STARBUCKS","241","CANAL STREET",10013,"2122192725","Caf̩/Coffee/Tea","A","241, CANAL STREET, New York, NY",-73.9999275,40.718362
"509","DELICATESSEN MACBAR","54","PRINCE STREET",10012,"2122260211","American","A","54, PRINCE STREET, New York, NY",-73.9963118,40.72346
"510","AYURVEDA CAFE","706","AMSTERDAM AVENUE",10025,"2129322400","Indian",NA,"706, AMSTERDAM AVENUE, New York, NY",NA,NA
"511","SUBWAY","90","WORTH STREET",10013,"2125130937","American","A","90, WORTH STREET, New York, NY",-74.0049256,40.7161935
"512","SPICE SAIGON","1237","1ST AVE",10065,"2126280088","Thai",NA,"1237, 1ST AVE, New York, NY",-73.9587411,40.7645971
"513","BOTTOMS UP/VODKA SODA","315","W 46TH ST",10036,"2129690460","American","A","315, W 46TH ST, New York, NY",-73.9886616,40.7602906
"514","WILLIAMSBURG PIZZA","277","BROOME ST",10002,"2122264455","Pizza/Italian",NA,"277, BROOME ST, New York, NY",-73.9911656,40.7182551
"515","FAT BABY","112","RIVINGTON STREET",10002,"2125331888","American","A","112, RIVINGTON STREET, New York, NY",-73.9877204,40.720036
"516","PATSY'S ITALIAN RESTAURANT","236","WEST   56 STREET",10019,"2122473491","Italian","A","236, WEST   56 STREET, New York, NY",-73.9827504,40.7656161
"517","TURKISH CUISINE","631","9 AVENUE",10036,"2123979650","Turkish","A","631, 9 AVENUE, New York, NY",-73.9917492,40.7601402
"518","MCGARRY'S","417","9 AVENUE",10001,"2128102115","American",NA,"417, 9 AVENUE, New York, NY",NA,NA
"519","FINANCIER PATISSERIE","10","LIBERTY STREET",10005,"2129523838","French",NA,"10, LIBERTY STREET, New York, NY",-74.00821,40.707344
"520","HAKU","1047","2ND AVE",10022,"2123718338","Japanese","Z","1047, 2ND AVE, New York, NY",-73.9664046,40.7582392
"521","RPM","266","BROOME STREET",10002,"6469186529","American","A","266, BROOME STREET, New York, NY",-73.9905233,40.7183182
"522","HAN DYNASTY","215","W 85TH ST",10024,"2128589060","Chinese","B","215, W 85TH ST, New York, NY",-73.9763983,40.7875604
"523","BOBBY VAN'S STEAKHOUSE","131","EAST   54 STREET",10022,"2122078050","Steak",NA,"131, EAST   54 STREET, New York, NY",-73.9710835,40.7593484
"524","WILLIAM GREENBERG JR DESSERTS","1100","MADISON AVENUE",10028,"2128611340","Caf̩/Coffee/Tea",NA,"1100, MADISON AVENUE, New York, NY",-73.960608,40.7787515
"525","PEKING GARDEN","3163","BROADWAY",10027,"2128653600","Chinese","A","3163, BROADWAY, New York, NY",-73.9591725,40.8149599
"526","BLUE RIBBON SUSHI BAR","225","LIBERTY ST - SPACE #244",10281,"2127860808","Japanese",NA,"225, LIBERTY ST - SPACE #244, New York, NY",NA,NA
"527","NAYA EXPRESS","54","W 56TH ST",10019,"2129447777","Middle Eastern","A","54, W 56TH ST, New York, NY",-73.9771145,40.7632048
"528","BETWEEN THE BREAD","609","W 27TH ST",10001,"2127651687","Sandwiches",NA,"609, W 27TH ST, New York, NY",-74.0054532,40.7517595
"529","SUN SAI GAI RESTAURANT","220","CANAL STREET",10013,"2129647256","Chinese",NA,"220, CANAL STREET, New York, NY",-73.9993815,40.7171679
"530","KFC","707","LENOX AVENUE",10039,"9733421421","Chicken","A","707, LENOX AVENUE, New York, NY",-73.936052,40.8208101
"531","ABSOLUTE THAI RESTAURANT","1590","LEXINGTON AVE",10029,"9178643259","Thai",NA,"1590, LEXINGTON AVE, New York, NY",-73.9487257,40.7892879
"532","LEXINGTON CANDY SHOP","1226","LEXINGTON AVENUE",10028,"2122880057","American",NA,"1226, LEXINGTON AVENUE, New York, NY",NA,NA
"533","MOKJA","852","AMSTERDAM AVE",10025,"6469654296","Korean",NA,"852, AMSTERDAM AVE, New York, NY",-73.9679658,40.7978089
"534","M & M BAR & GRILL","1218","ST NICHOLAS AVENUE",10032,"3472945121","American",NA,"1218, ST NICHOLAS AVENUE, New York, NY",-73.9383113,40.8427309
"535","HOTEL TORTUGA","246","EAST   14 STREET",10003,"2122281884","Mexican","A","246, EAST   14 STREET, New York, NY",NA,NA
"536","MONT BLANC 52","344","W 52ND ST",10019,"2125829648","Other","B","344, W 52ND ST, New York, NY",-73.9868366,40.7639195
"537","WORLD YACHT DUCHESS","0","PIER   81",10036,"2126308890","American",NA,"0, PIER   81, New York, NY",-74.002617,40.761804
"538","TERAKAWA RAMEN","885","9 AVENUE",10019,"2123070170","Japanese",NA,"885, 9 AVENUE, New York, NY",NA,NA
"539","RISE BAR","859","9TH AVE",10019,"9174057905","American",NA,"859, 9TH AVE, New York, NY",-73.9866,40.767238
"540","CAROLINE'S ON BROADWAY","750","7 AVENUE",10019,"2127574100","American",NA,"750, 7 AVENUE, New York, NY",-73.9837835,40.76119
"541","MOJITO'S","227","EAST  116 STREET",10029,"2128288635","Mexican",NA,"227, EAST  116 STREET, New York, NY",-73.9387605,40.7976257
"542","MARILU & DEYSI RESTAURANT","206","AUDUBON AVENUE",10033,"2127956909","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","A","206, AUDUBON AVENUE, New York, NY",-73.935219,40.845284
"543","JOE G  RESTAURANT (DA VINCI HOTEL)","244","WEST   56 STREET",10019,"2127653160","Italian","A","244, WEST   56 STREET, New York, NY",-73.9830259,40.7656166
"544","PITA GRILL","1083","2 AVENUE",10022,"2127501122","Jewish/Kosher",NA,"1083, 2 AVENUE, New York, NY",NA,NA
"545","JOSIE WOOD'S PUB","11","WAVERLY PLACE",10003,"2122289909","American","A","11, WAVERLY PLACE, New York, NY",NA,NA
"546","PAK SHAHI BIRYANI & GRILL","71","W 109TH ST",10025,"2122228820","Middle Eastern",NA,"71, W 109TH ST, New York, NY",NA,NA
"547","HANJAN","36","WEST   26 STREET",10010,"2122067226","Korean","A","36, WEST   26 STREET, New York, NY",-73.9906129,40.7442413
"548","BEAUTIQUE","8","W 58TH ST",10019,"2127531200","American",NA,"8, W 58TH ST, New York, NY",-73.9742844,40.7638581
"549","TU-LU'S GLUTEN-FREE BAKERY","338","EAST   11 STREET",10003,"2127772227","Bakery",NA,"338, EAST   11 STREET, New York, NY",NA,NA
"550","VIN SUR VINGT","1","WEST  59 STREET",10019,"6465599429","French",NA,"1, WEST  59 STREET, New York, NY",-73.9744989,40.7647267
"551","Alana Bar Cafe","462","W 52ND ST",10019,"2125860888","Other","A","462, W 52ND ST, New York, NY",NA,NA
"552","FORMERLY CROWS","85","WASHINGTON PL",10011,"2123610077","American",NA,"85, WASHINGTON PL, New York, NY",-74.0000245,40.7322184
"553","REMEDY DINER","245","EAST HOUSTON STREET",10002,"2126775110","American",NA,"245, EAST HOUSTON STREET, New York, NY",-73.9854593,40.721725
"554","FALAFEL TARBOOSH","1701","AMSTERDAM AVENUE",10031,"2122344434","Middle Eastern","A","1701, AMSTERDAM AVENUE, New York, NY",NA,NA
"555","A1 OCHA SUSHI","350","W 46TH ST",10036,"2125813198","Japanese",NA,"350, W 46TH ST, New York, NY",-73.9898783,40.7603475
"556","OPEN KITCHEN","33","E 33RD ST",10016,"2128415555","American","C","33, E 33RD ST, New York, NY",-73.9825897,40.7469723
"557","THE PAVILION MARKET PLACE","20","Union Sq. W",10003,"2126777818","American",NA,"20, Union Sq. W, New York, NY",-73.9899127,40.7364501
"558","CAFE CELLO DELI","48","WEST   46 STREET",10036,"2127648600","American",NA,"48, WEST   46 STREET, New York, NY",-73.9812812,40.7567635
"559","Petite Show","1269","LEXINGTON AVE",10028,"2128282233","Caf̩/Coffee/Tea","A","1269, LEXINGTON AVE, New York, NY",-73.9556852,40.779009
"560","NEW YORK BURGER CO","678","6 AVENUE",10010,"2122291404","Hamburgers",NA,"678, 6 AVENUE, New York, NY",-73.9933102,40.7416419
"561","THE JUICE SHOP","688","6TH AVE",10010,"6469186081","Juice, Smoothies, Fruit Salads","B","688, 6TH AVE, New York, NY",-73.9931495,40.7419858
"562","LAND THAI KITCHEN","450","AMSTERDAM AVENUE",10024,"2125018121","Thai",NA,"450, AMSTERDAM AVENUE, New York, NY",-73.9773785,40.7849918
"563","ARGO TEA CAFE","275","7 AVENUE",10001,"6466062229","Caf̩/Coffee/Tea","A","275, 7 AVENUE, New York, NY",-73.9941582,40.7455693
"564","MIDTOWN RESTAURANT","155","EAST   55 STREET",10022,"2126441611","American",NA,"155, EAST   55 STREET, New York, NY",-73.9690678,40.759428
"565","JUST SALAD","151","W 34TH ST",10001,"6463551850","Salads","A","151, W 34TH ST, New York, NY",NA,NA
"566","HAILE BRISTRO","182","AVENUE B",10009,"2126738949","Ethiopian","A","182, AVENUE B, New York, NY",-73.9794446,40.7277831
"567","PATSY'S PIZZERIA","67","UNIVERSITY PLACE",10003,"2125333500","Pizza/Italian","A","67, UNIVERSITY PLACE, New York, NY",-73.9933561,40.7328461
"568","EASTWOOD","200","CLINTON STREET",10002,"2122330124","Middle Eastern","A","200, CLINTON STREET, New York, NY",-73.987063,40.714154
"569","THE FITZ","687","LEXINGTON AVE",10022,"2123550100","American","A","687, LEXINGTON AVE, New York, NY",-73.9691826,40.7605055
"570","COLONY CLUB","564","PARK AVENUE",10065,"2128384200","American","A","564, PARK AVENUE, New York, NY",-73.9687693,40.765193
"571","TERREMOTO COFFEE","328","W 15TH ST",10011,"2122434300","Caf̩/Coffee/Tea",NA,"328, W 15TH ST, New York, NY",-74.0033643,40.74079
"572","LA PULPERIA","371","W 46TH ST",10036,"2129603176","Spanish",NA,"371, W 46TH ST, New York, NY",-73.9902686,40.7609624
"573","SUBWAY","1661","1 AVENUE",10028,"2129873839","Sandwiches","B","1661, 1 AVENUE, New York, NY",NA,NA
