"","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION"
"371","SPACE IBIZA NY","637","W 50TH ST",10019,"American"
"372","SONS OF THUNDER","204","E 38TH ST",10016,"American"
"373","FIKA","555","6TH AVE",10011,"Caf̩/Coffee/Tea"
"374","AMARANTH","21","EAST   62 STREET",10065,"French"
"375","TERRACE FISH & CHIPS","77","PEARL STREET",10004,"Seafood"
"376","EL MONDAY'S","32","E 130TH ST",10037,"Soul Food"
"377","ARTHUR'S TAVERN","57","GROVE STREET",10014,"American"
"378","CITY DINER","2441","BROADWAY",10024,"American"
"379","DONNA BELL'S BAKE SHOP","301","WEST   49 STREET",10019,"Bakery"
"380","SOPHIE'S RESTAURANT(Entrance on 73 New Street)","26","BROADWAY",10004,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"381","CAFE CHINA","13","E 37TH ST",10016,"Chinese"
"382","MASON JAR","45","EAST   30 STREET",10016,"American"
"383","DORIAN GRAY","205","EAST    4 STREET",10009,"American"
"384","NANCY WHISKEY PUB","1","LISPENARD ST",10013,"American"
"385","SILVER STAR RESTAURANT","1236","2 AVENUE",10065,"American"
"386","SPUNTO","65","CARMINE STREET",10014,"Pizza/Italian"
"387","BOOTS AND SADDLE","100A","7TH AVE S",10014,"American"
"388","HAWA SMOOTHIE","422","E 14 ST",10009,"Juice, Smoothies, Fruit Salads"
"389","MAUI ONION","35","W 26TH ST",10010,"Hawaiian"
"390","MORRELL WINE BAR & CAFE","14","WEST   49 STREET",10020,"American"
"391","JUPIOCA","123","W 3RD ST",10012,"Juice, Smoothies, Fruit Salads"
"392","CLUB A STEAKHOUSE","240","EAST   58 STREET",10022,"Steak"
"393","RASA","25","W 8TH ST",10011,"Asian"
"394","JOHNY'S LUNCHEONETTE","124","WEST   25 STREET",10001,"American"
"395","FOOD GALLERY 32","11","W 32ND ST",10001,"Korean"
"396","YUMMY THAI","4959","BROADWAY",10034,"Thai"
"397","THE BEST OF NEW YORK FOOD","150","WATER ST",10005,"American"
"398","THE WILLIAMS MEMORIAL RESIDENCE","720","WEST END AVENUE",10025,"American"
"399","THE PRINCETON CLUB","15","WEST   43 STREET",10036,"American"
"400","YEE LI RESTAURANT","43103","ELIZABETH STREET",10013,"Chinese"
"401","CHINA TASTE","1570","2ND AVE",10028,"Chinese"
"402","JUNOON","27","WEST   24 STREET",10010,"Indian"
"403","JOSIE'S BAR","520","EAST    6 STREET",10009,"American"
"404","LA TRATTORIA","844","2 AVENUE",10017,"Pizza"
"405","TU CACHAPA","4195","BROADWAY",10033,"Spanish"
"406","NEW YORK INSTITUTE OF TECHNOLOGY","1849","BROADWAY",10023,"American"
"407","CROWN FRIED CHICKEN","1867","LEXINGTON AVENUE",10029,"Chicken"
"408","GATSBY'S","53","SPRING STREET",10012,"American"
"409","PIEZANO PIZZA","94","NAGLE AVE",10040,"Pizza"
"410","QUIZNO'S SUBS","304","WEST 34 STREET",10001,"Sandwiches"
"411","BONCHON","325","5TH AVE",10016,"Korean"
"412","GONG CHA","1","CATHERINE ST",10038,"Caf̩/Coffee/Tea"
"413","BOULEY BOTANICAL","35","WHITE ST",10013,"French"
"414","AL HORNO LEAN MEXICAN KITCHEN","57","1ST AVE",10003,"Mexican"
"415","STROMBOLI PIZZA","83","ST MARKS PLACE",10003,"Pizza"
"416","BONCHON","207","WEST   38 STREET",10018,"Chicken"
"417","WING BISTRO","1109","1ST AVE",10065,"American"
"418","NOCHE MEXICANA II","842","AMSTERDAM AVENUE",10025,"Mexican"
"419","GRAND SICHUAN","229","9TH AVE",10001,"Chinese"
"420","BURGER KING","106","FULTON STREET",10038,"Hamburgers"
"421","ROSIE O'GRADY RESTAURANT","800","7 AVENUE",10019,"Irish"
"422","POKEWORKS (Entrance is on 41st street between Lexington & Park)","122","E 42ND ST",10168,"Hawaiian"
"423","ICHI UMI","6","EAST   32 STREET",10016,"Japanese"
"424","LUCY'S WHEY","1417","LEXINGTON AVE",10128,"American"
"425","IRON SUSHI","355","EAST   78 STREET",10075,"Japanese"
"426","WHITE & CASE COFFEE BAR & PANTRY","1221","AVENUE OF THE AMERICAS",10020,"American"
"427","ROCKMEISHA","11","BARROW STREET",10014,"Japanese"
"428","FRUCES","1496","AMSTERDAM AVE",10031,"Juice, Smoothies, Fruit Salads"
"429","LA LANTERNA DI VITTORIO","129","MACDOUGAL STREET",10012,"Italian"
"430","YU SUSHI","827","WEST  181 STREET",10033,"Japanese"
"431","765 FOOD MARKET","765","2 AVENUE",10017,"Delicatessen"
"432","OLD MAN HUSTLE","39","ESSEX ST",10002,"American"
"433","ALOAF CAFE","170","E 110TH ST",10029,"Bakery"
"434","CRIMSON & RYE","198","E 54TH ST",10022,"American"
"435","THIRD RAIL COFFEE","159","2ND AVENUE",10003,"Caf̩/Coffee/Tea"
"436","HAMPTON INN","851","8 AVENUE",10019,"American"
"437","TRIONA'S","237","SULLIVAN STREET",10012,"Irish"
"438","MARGAUX","5","W. 8TH STREET",10011,"American"
"439","ANOTHEROOM","249","WEST BROADWAY",10013,"American"
"440","CLUB WYNN - GERA GERA","238","EAST 53 STREET",10022,"Asian"
"441","ALICES TEA CUP CHAPTER 2","156","EAST   64 STREET",10065,"American"
"442","BIG APPLE CAFE","891","AMSTERDAM AVENUE",10025,"Caf̩/Coffee/Tea"
"443","BARN JOO 35","34","W 35TH ST",10001,"Korean"
"444","UNCLE TED'S","163","BLEECKER STREET",10012,"Chinese"
"445","DIRTY FRENCH","180","LUDLOW ST",10002,"French"
"446","MCDONALD'S","280","MADISON AVE",10016,"Hamburgers"
"447","BUCA/BUCHETTA","201","WEST  103 STREET",10025,"Pizza/Italian"
"448","POPEYES LOUISIANA KITCHEN","601","WEST  172 STREET",10032,"Chicken"
"449","MAY WAH FAST FOOD","190","HESTER STREET",10013,"Chinese"
"450","LA MAISON DU CROQUE MONSIEUR","17","EAST   13 STREET",10003,"French"
"451","SHU HAN JU AUTHENTIC CHINESE CUISINE","465","6TH AVE",10011,"Chinese"
"452","DANIEL","60","EAST   65 STREET",10065,"French"
"453","THE MUFFIN CAFE","222","COLUMBUS AVENUE",10023,"Caf̩/Coffee/Tea"
"454","TOMOE SUSHI","172","THOMPSON STREET",10012,"Japanese"
"455","SUBWAY","1523","YORK AVENUE",10028,"Sandwiches"
"456","ASIAN 59","207","E 59TH ST",10022,"Chinese/Japanese"
"457","NIOS RESTAURANT","130","WEST   46 STREET",10036,"American"
"458","SWINE","531","HUDSON STREET",10014,"American"
"459","SPREADS","441","PARK AVENUE SOUTH",10016,"American"
"460","EL JAYA RESTAURANT","8385","AUDUBON AVENUE",10032,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"461","MCDONALD'S","160","BROADWAY",10038,"Hamburgers"
"462","107 WEST RESTAURANT","2787","BROADWAY",10025,"American"
"463","ROYAL BANGLADESH INDIAN RESTAURANT","93","1 AVENUE",10003,"Bangladeshi"
"464","MOONSTRUCK (IN BELLEVUE)","462","1ST AVE",10016,"American"
"465","SARABETH'S KITCHEN","1295","MADISON AVENUE",10128,"American"
"466","SUBWAY","21","EAST  118 STREET",10035,"Sandwiches"
"467","THE HELEN HAYES THEATRE","240","WEST   44 STREET",10036,"American"
"468","HIGH STREET ON HUDSON","637","HUDSON ST",10014,"American"
"469","BODEGA NEGRA","355","WEST   16 STREET",10011,"Mexican"
"470","RICE & BEANS RESTAURANT","744","9 AVENUE",10019,"Brazilian"
"471","DOUGH BOYS PIZZA","451","3RD AVE",10016,"Pizza"
"472","ABACE SUSHI","695","9TH AVE",10036,"Japanese"
"473","JOEY PEPPERONI PIZZA","381","BROADWAY",10013,"Pizza"
"474","SWEETGREEN","311","AMSTERDAM AVE",10023,"American"
"475","CROWN FRIED CHICKEN","2459","8TH AVE",10027,"Chicken"
"476","DHAULAGIRI KITCHEN","124","LEXINGTON AVE",10016,"Asian"
"477","H-YARD GOURMET DELI","450","9TH AVE",10018,"Delicatessen"
"478","CANDLE CAFE WEST","2427","BROADWAY",10024,"Vegetarian"
"479","DUNKIN' DONUTS","638","LEXINGTON AVENUE",10022,"Donuts"
"480","ENTWINE","765","WASHINGTON STREET",10014,"American"
"481","ACOSTA RESTAURANT","934","AMSTERDAM AVENUE",10025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"482","THE BENNETT","134","WEST BROADWAY",10013,"Continental"
"483","RAMEN TAKUMI","1","UNIVERSITY PL",10003,"Japanese"
"484","CHECKERS","225","1ST AVE",10003,"Hamburgers"
"485","ABC COCINA / ABCV","38","EAST 19 STREET",10003,"French"
"486","TEXAS ROTISSERIE","1315","1ST AVE",10021,"American"
"487","FIVE SENSES","9","W 32ND ST",10001,"Korean"
"488","FUJI JAPANESE RESTAURANT","238","WEST   56 STREET",10019,"Japanese"
"489","DON PEPI PIZZA","0","PENN STATION",10001,"Pizza"
"490","Kennedy's Chicken & Grill","2083","AMSTERDAM AVE",10032,"Chicken"
"491","MARIACHI'S RESTAURANT","156","CHAMBERS ST",10007,"Mexican"
"492","LIFECAFE","605","W 42ND ST",10036,"Juice, Smoothies, Fruit Salads"
"493","PADDY MAGUIRE'S ALE HOUSE","237","THIRD AVENUE",10003,"Bottled beverages, including water, sodas, juices, etc."
"494","FITZGERALD'S PUB","336","THIRD AVENUE",10010,"American"
"495","TASTI D-LITE","1221","3 AVENUE",10021,"Ice Cream, Gelato, Yogurt, Ices"
"496","BRAVO PIZZA","115","EAST   14 STREET",10003,"Pizza"
"497","LA EXCELENCIA EMPANADAS MONUMENTAL","522","W 207TH ST",10034,"Spanish"
"498","LIQUITERIA","170","2ND AVE",10003,"Juice, Smoothies, Fruit Salads"
"499","BROADWAY CAFE","1123","BROADWAY",10010,"Delicatessen"
"500","THE BROOK","111","EAST   54 STREET",10022,"American"
"501","CHARTWELLS @ MANHATTAN SCHOOL OF MUSIC","120","CLAREMONT AVENUE",10027,"American"
"502","EUROPA CAFE","1177","AVENUE OF THE AMERICAS",10036,"Caf̩/Coffee/Tea"
"503","WAT'S ON YOUR PLATE","513","WEST  145 STREET",10031,"Caribbean"
"504","HOLY MOLY (JESUS' TACO)","501","WEST 145 ST",10031,"Tex-Mex"
"505","DRUNKEN HORSE","225","10 AVENUE",10011,"American"
"506","LEDERHOSEN RESTAURANT","39","GROVE STREET",10014,"German"
"507","SIMPLY FOOD","5","WEST   51 STREET",10019,"American"
"508","STARBUCKS","241","CANAL STREET",10013,"Caf̩/Coffee/Tea"
"509","DELICATESSEN MACBAR","54","PRINCE STREET",10012,"American"
"510","AYURVEDA CAFE","706","AMSTERDAM AVENUE",10025,"Indian"
"511","SUBWAY","90","WORTH STREET",10013,"American"
"512","SPICE SAIGON","1237","1ST AVE",10065,"Thai"
"513","BOTTOMS UP/VODKA SODA","315","W 46TH ST",10036,"American"
"514","WILLIAMSBURG PIZZA","277","BROOME ST",10002,"Pizza/Italian"
"515","FAT BABY","112","RIVINGTON STREET",10002,"American"
"516","PATSY'S ITALIAN RESTAURANT","236","WEST   56 STREET",10019,"Italian"
"517","TURKISH CUISINE","631","9 AVENUE",10036,"Turkish"
"518","MCGARRY'S","417","9 AVENUE",10001,"American"
"519","FINANCIER PATISSERIE","10","LIBERTY STREET",10005,"French"
"520","HAKU","1047","2ND AVE",10022,"Japanese"
"521","RPM","266","BROOME STREET",10002,"American"
"522","HAN DYNASTY","215","W 85TH ST",10024,"Chinese"
"523","BOBBY VAN'S STEAKHOUSE","131","EAST   54 STREET",10022,"Steak"
"524","WILLIAM GREENBERG JR DESSERTS","1100","MADISON AVENUE",10028,"Caf̩/Coffee/Tea"
"525","PEKING GARDEN","3163","BROADWAY",10027,"Chinese"
"526","BLUE RIBBON SUSHI BAR","225","LIBERTY ST - SPACE #244",10281,"Japanese"
"527","NAYA EXPRESS","54","W 56TH ST",10019,"Middle Eastern"
"528","BETWEEN THE BREAD","609","W 27TH ST",10001,"Sandwiches"
"529","SUN SAI GAI RESTAURANT","220","CANAL STREET",10013,"Chinese"
"530","KFC","707","LENOX AVENUE",10039,"Chicken"
"531","ABSOLUTE THAI RESTAURANT","1590","LEXINGTON AVE",10029,"Thai"
"532","LEXINGTON CANDY SHOP","1226","LEXINGTON AVENUE",10028,"American"
"533","MOKJA","852","AMSTERDAM AVE",10025,"Korean"
"534","M & M BAR & GRILL","1218","ST NICHOLAS AVENUE",10032,"American"
"535","HOTEL TORTUGA","246","EAST   14 STREET",10003,"Mexican"
"536","MONT BLANC 52","344","W 52ND ST",10019,"Other"
"537","WORLD YACHT DUCHESS","0","PIER   81",10036,"American"
"538","TERAKAWA RAMEN","885","9 AVENUE",10019,"Japanese"
"539","RISE BAR","859","9TH AVE",10019,"American"
"540","CAROLINE'S ON BROADWAY","750","7 AVENUE",10019,"American"
"541","MOJITO'S","227","EAST  116 STREET",10029,"Mexican"
"542","MARILU & DEYSI RESTAURANT","206","AUDUBON AVENUE",10033,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"543","JOE G  RESTAURANT (DA VINCI HOTEL)","244","WEST   56 STREET",10019,"Italian"
"544","PITA GRILL","1083","2 AVENUE",10022,"Jewish/Kosher"
"545","JOSIE WOOD'S PUB","11","WAVERLY PLACE",10003,"American"
"546","PAK SHAHI BIRYANI & GRILL","71","W 109TH ST",10025,"Middle Eastern"
"547","HANJAN","36","WEST   26 STREET",10010,"Korean"
"548","BEAUTIQUE","8","W 58TH ST",10019,"American"
"549","TU-LU'S GLUTEN-FREE BAKERY","338","EAST   11 STREET",10003,"Bakery"
"550","VIN SUR VINGT","1","WEST  59 STREET",10019,"French"
"551","Alana Bar Cafe","462","W 52ND ST",10019,"Other"
"552","FORMERLY CROWS","85","WASHINGTON PL",10011,"American"
"553","REMEDY DINER","245","EAST HOUSTON STREET",10002,"American"
"554","FALAFEL TARBOOSH","1701","AMSTERDAM AVENUE",10031,"Middle Eastern"
"555","A1 OCHA SUSHI","350","W 46TH ST",10036,"Japanese"
"556","OPEN KITCHEN","33","E 33RD ST",10016,"American"
"557","THE PAVILION MARKET PLACE","20","Union Sq. W",10003,"American"
"558","CAFE CELLO DELI","48","WEST   46 STREET",10036,"American"
"559","Petite Show","1269","LEXINGTON AVE",10028,"Caf̩/Coffee/Tea"
"560","NEW YORK BURGER CO","678","6 AVENUE",10010,"Hamburgers"
"561","THE JUICE SHOP","688","6TH AVE",10010,"Juice, Smoothies, Fruit Salads"
"562","LAND THAI KITCHEN","450","AMSTERDAM AVENUE",10024,"Thai"
"563","ARGO TEA CAFE","275","7 AVENUE",10001,"Caf̩/Coffee/Tea"
"564","MIDTOWN RESTAURANT","155","EAST   55 STREET",10022,"American"
"565","JUST SALAD","151","W 34TH ST",10001,"Salads"
"566","HAILE BRISTRO","182","AVENUE B",10009,"Ethiopian"
"567","PATSY'S PIZZERIA","67","UNIVERSITY PLACE",10003,"Pizza/Italian"
"568","EASTWOOD","200","CLINTON STREET",10002,"Middle Eastern"
"569","THE FITZ","687","LEXINGTON AVE",10022,"American"
"570","COLONY CLUB","564","PARK AVENUE",10065,"American"
"571","TERREMOTO COFFEE","328","W 15TH ST",10011,"Caf̩/Coffee/Tea"
"572","LA PULPERIA","371","W 46TH ST",10036,"Spanish"
"573","SUBWAY","1661","1 AVENUE",10028,"Sandwiches"
"574","BOULEVARD BISTRO","239","LENOX AVENUE",10027,"American"
"575","242 CAFE BAKERY","242","CANAL STREET",10013,"Chinese"
"576","TWO BOOTS","625","9 AVENUE",10036,"Pizza"
"577","LABELLA FERRARA","108","MULBERRY STREET",10013,"Bakery"
"578","MAROO","1640","3RD AVE",10128,"Korean"
"579","WALDY'S WOOD FIRED PIZZA & PENNE","800","6 AVENUE",10001,"Pizza"
"580","ED'S LOBSTER BAR","222","LAFAYETTE STREET",10012,"Seafood"
"581","BAR 13","35","EAST   13 STREET",10003,"American"
"582","SING KEE SEAFOOD RESTAURANT","42","BOWERY",10013,"Chinese"
"583","TACORIA MEZA","95","7 AVENUE SOUTH",10014,"Mexican"
"584","PATISSERIE DES AMBASSADES","2200","FREDERICK DOUGLASS BOULEVARD",10026,"French"
"585","PEACE FOOD CAFE","460","AMSTERDAM AVENUE",10024,"American"
"586","UMA TEMAKERIA","64","7TH AVE",10011,"Japanese"
"587","NOURISH KITCHEN + TABLE","95","GREENWICH AVENUE",10014,"American"
"588","DUNKIN' DONUTS","149","CANAL STREET",10002,"American"
"589","LITTLE BAMBOO","175","LENOX AVE",10026,"Thai"
"590",".TAO","92","9TH AVE",10011,"Asian"
"591","AMC THEATRES","312","W 34TH ST",10001,"American"
"592","DORRIAN'S RED HAND RESTAURANT","1616","2 AVENUE",10028,"Irish"
"593","GREAT TASTE BAKERY","3335","CATHERINE STREET",10038,"Bakery"
"594","CAFE CLASSICO","35","WEST   57 STREET",10019,"Jewish/Kosher"
"595","LIONS HEAD TAVERN","995","AMSTERDAM AVENUE",10025,"Armenian"
"596","CAMPAGNOLA RESTAURANT","1382","1ST AVE",10021,"Italian"
"597","YURA'S BLUE PLATE","2248","1ST AVE",10029,"American"
"598","PERA MEDITERRANEAN BRASSERIE","303","MADISON AVENUE",10017,"Mediterranean"
"599","GOLDEN BOWL RESTAURANT","51","DIVISION ST",10002,"Chinese"
"600","THE WINSLOW","243","E 14TH ST",10003,"American"
"601","NINOS 46","39","WEST   46 STREET",10036,"Italian"
"602","KASBAH BBQ & GRILL","251","WEST   85 STREET",10024,"Jewish/Kosher"
"603","A & C KITCHEN","134136","AVENUE C",10009,"Chinese"
"604","40/40 CLUB","6","WEST   25 STREET",10010,"American"
"605","BLACK STONE COFFEE ROASTERS","502","HUDSON ST",10014,"American"
"606","THE TANGLED VINE","434","AMSTERDAM AVENUE",10024,"Mediterranean"
"607","BREADS BAKERY","1890","BROADWAY",10023,"Bakery"
"608","DELMONICOS","56","BEAVER STREET",10004,"Italian"
"609","MORNINGSTAR RESTAURANT","949","2 AVENUE",10022,"American"
"610","TANOSHI SUSHI SAKI BAR","1372","YORK AVENUE",10021,"Japanese"
"611","CASCABEL TAQUERIA","2799","BROADWAY",10025,"Mexican"
"612","1 STOP PATTY SHOP","1708","AMSTERDAM AVENUE",10031,"Bakery"
"613","Pick-A-Bagel","1101","LEXINGTON AVE",10075,"Bagels/Pretzels"
"614","HUDSON BAR AND BOOKS","636","HUDSON STREET",10014,"American"
"615","$1 PIZZA $2 BEER","95","MACDOUGAL STREET",10012,"Pizza"
"616","BELLA NAPOLI","130","MADISON AVENUE",10016,"Pizza/Italian"
"617","MUI KITCHEN & BAR","10","WEST   32 STREET",10001,"Asian"
"618","B-SIDE","204","AVENUE B",10009,"American"
"619","CHIPOTLE MEXICAN GRILL","283","7 AVENUE",10001,"Tex-Mex"
"620","JG Mellon","89","MACDOUGAL ST",10012,"American"
"621","CELLINI","65","EAST   54 STREET",10022,"Italian"
"622","KUNG FU KITCHEN","610","8TH AVE",10018,"Chinese"
"623","MARIES CRISIS CAFE","59","GROVE STREET",10014,"American"
"624","CAPITALE","130","BOWERY",10013,"Continental"
"625","FINANCIER PATISSERIE","62","STONE STREET",10004,"French"
"626","MARCONY","184","LEXINGTON AVENUE",10016,"Italian"
"627","EL CAPRI RESTAURANT","1342","ST NICHOLAS AVENUE",10033,"Spanish"
"628","FUKUROU","87","MACDOUGAL STREET",10012,"Japanese"
"629","REVISION","219","AVENUE B",10009,"American"
"630","ALIDORO","18","E 39TH ST",10016,"Italian"
"631","ISE MENKUI-TEI","58","WEST   56 STREET",10019,"Japanese"
"632","BARRE CAFE AT STEPS","2121","BROADWAY",10023,"Caf̩/Coffee/Tea"
"633","SANATORIUM","14","AVENUE C",10009,"Other"
"634","AROME","325","BROADWAY",10007,"American"
"635","THE ROOSEVELT HOTEL","45","EAST   45 STREET",10017,"American"
"636","AGAVE","140","7 AVENUE SOUTH",10014,"Mexican"
"637","STARBUCKS","340","MADISON AVENUE",10173,"Caf̩/Coffee/Tea"
"638","ABC KITCHEN","35","EAST   18 STREET",10003,"American"
"639","BARZINHO","48","HESTER STREET",10002,"Brazilian"
"640","BALDUCCI'S","301","WEST   56 STREET",10019,"American"
"641","EARL OF SANDWICH","1290","AVENUE OF THE AMERICAS",10104,"American"
"642","SHANGHAI BROADWAY RESTAURANT","150","WEST   36 STREET",10018,"Chinese"
"643","MOLYVOS","871","7 AVENUE",10019,"Greek"
"644","MANNY'S ON SECOND","1770","2 AVENUE",10128,"American"
"645","ZAGARA WINE BAR","216","7TH AVE",10011,"Italian"
"646","ACME BAR & GRILL","9","GREAT JONES STREET",10012,"American"
"647","DAFNI","325","WEST 42 STREET",10036,"Greek"
"648","SILVER PALACE CHINESE RESTAURANT","3846","BROADWAY",10032,"Chinese"
"649","THE BUTCHER'S DAUGHTER","581","HUDSON ST",10014,"Vegetarian"
"650","RESIDENCE INN WORLD TRADE CENTER","170","BROADWAY",10038,"American"
"651","IDEA COFFEE","246","5TH AVE",10001,"Korean"
"652","THE BLUEBELL CAFE","293","3 AVENUE",10010,"Continental"
"653","HARRY'S CAFE/HARRY'S STEAK","1","HANOVER SQUARE",10004,"American"
"654","DELICACY","12","E 44TH ST",10017,"Delicatessen"
"655","PROSKAUER ROSE","11","TIMES SQUARE",10036,"American"
"656","PAULS DA BURGER JOINT","131","2 AVENUE",10003,"Hamburgers"
"657","LUCKY'S FAMOUS BURGERS","147","EAST HOUSTON STREET",10002,"Hamburgers"
"658","ROYALE","157","AVENUE C",10009,"American"
"659","GARLIC PIZZA BAR","629","2ND AVE",10016,"Pizza/Italian"
"660","WENDY'S","79","E 125TH ST",10035,"American"
"661","KEUR COUMBA RESTAURANT","125","WEST  116 STREET",10026,"African"
"662","DAIRY QUEEN GRILL & CHILL","54","W 14TH ST",10011,"Sandwiches"
"663","PINKBERRY","523","6TH AVE",10011,"Ice Cream, Gelato, Yogurt, Ices"
"664","FIELDS GOOD CHICKEN","101","MAIDEN LN",10038,"Chicken"
"665","SUN IN BLOOM","165","CHURCH ST",10007,"Vegetarian"
"666","SYMPOSIUM GREEK RESTAURANT","544","WEST  113 STREET",10025,"Greek"
"667","KAFANA","116","AVENUE C",10009,"Eastern European"
"668","CHURUTTO RAMEN","1534","3 AVENUE",10028,"Japanese"
"669","BURGER KING","130","WEST  125 STREET",10027,"Hamburgers"
"670","HARLEM SHAKE","100","WEST 124 STREET",10027,"American"
"671","CASSIANO'S PIZZA","930","3 AVENUE",10022,"Pizza"
"672","LA FLACA","384","GRAND STREET",10002,"Mexican"
"673","QUE RICO POLLO RESTAURANT & GRILL","46","SAINT NICHOLAS AVE",10026,"Spanish"
"674","HUERTAS","107","1ST AVE",10003,"Spanish"
"675","BLACK TAP","248","W 14TH ST",10011,"American"
"676","SPICE SYMPHONY","182","LEXINGTON AVENUE",10016,"Indian"
"677","EAT A BAGEL (On the Guy V. Molinari Ferry)","0","WHITEHALL FERRY TERMINAL",10004,"Bagels/Pretzels"
"678","CROWN FRIED CHICKEN","3633","BROADWAY",10031,"Chicken"
"679","ESS-A-BAGEL","324","1ST AVE",10009,"Bagels/Pretzels"
"680","LIGHTHOUSE FISHMARKET","2451","FREDERICK DOUGLASS BLVD",10027,"American"
"681","MATISSE","924","2 AVENUE",10022,"French"
"682","EXPRESS THALI","82","2ND AVE",10003,"Indian"
"683","SUBWAY","348","MALCOLM X BOULEVARD",10027,"Sandwiches"
"684","APPLEBEE'S","205","WEST   50 STREET",10019,"American"
"685","FRANKLIN HOTEL","164","EAST   87 STREET",10128,"Continental"
"686","SERAFINA","7","9 AVENUE",10014,"Italian"
"687","JOJO'S PHILOSOPHY","169","BLEECKER ST",10012,"American"
"688","KPMG CAFE","345","PARK AVENUE",10010,"American"
"689","SCHOLASTIC PUBLICATIONS CAFE","557","BROADWAY",10012,"Caf̩/Coffee/Tea"
"690","AMSTERDAM TAVERN","938","AMSTERDAM AVENUE",10025,"American"
"691","BARRIO CHINO","253","BROOME STREET",10002,"Mexican"
"692","DUNKIN' DONUTS","152","WEST   31 STREET",10001,"Donuts"
"693","MAMAM","239","CENTRE ST",10013,"French"
"694","VANDAL","199","BOWERY",10002,"American"
"695","THE JOINT","94","3RD AVE",10003,"Steak"
"696","MCDONALD'S","480","3 AVENUE",10016,"Hamburgers"
"697","THE LAZY LLAMA COFFEE BAR","72","E 1ST ST",10003,"Caf̩/Coffee/Tea"
"698","LUKE'S LOBSTER","242","EAST   81 STREET",10028,"Seafood"
"699","MARRIOTT MARQUIS PASTRY SHOP","1535","BROADWAY",10036,"Bakery"
"700","YAKITORI SUN-CHAN","2707","BROADWAY",10025,"Japanese"
"701","EMPANADA MAMA","95","ALLEN ST",10002,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"702","MCDONALD'S","2142","3 AVENUE",10035,"Hamburgers"
"703","NIALL'S ON 52ND","218","EAST   52 STREET",10022,"Irish"
"704","EASTERN BLOC","505","EAST    6 STREET",10009,"American"
"705","MADMAN ESPRESSO","336","W 37TH ST",10018,"Caf̩/Coffee/Tea"
"706","TEDSTER_x001A_S ALL NATURAL & ORGANIC","1219","1ST AVENUE",10065,"Chicken"
"707","SPICE","435","AMSTERDAM AVENUE",10024,"Thai"
"708","FAIRFIELD INN AND SUITES","100","GREENWICH ST",10006,"American"
"709","99 CENTS FRESH SLICE PIZZA","105","STANTON ST",10002,"Pizza"
"710","TACOS GRAND CENTRAL","134","E 27TH ST",10016,"Mexican"
"711","OLGA'S PIZZA","3409","BROADWAY",10031,"Pizza"
"712","MILK BAR CHELSEA","220","8TH AVE",10011,"Ice Cream, Gelato, Yogurt, Ices"
"713","CHIPOTLE MEXICAN GRILL","117","EAST   14 STREET",10003,"Mexican"
"714","ARIEL'S TAPA LOUNGE","293","EAST HOUSTON STREET",10002,"Spanish"
"715","DUNKIN' DONUTS","1443","YORK AVENUE",10075,"Donuts"
"716","DEBEVOISE & PLIMPTON","919","3 AVENUE",10022,"American"
"717","AU BON PAIN","599","LEXINGTON AVENUE",10022,"American"
"718","AMERICA GOURMET FOOD","831","6 AVENUE",10001,"Delicatessen"
"719","PARLOR CLUB NYC","286","SPRING STREET",10013,"American"
"720","INTELLIGENTSIA COFFEE","180","10 AVENUE",10011,"Caf̩/Coffee/Tea"
"721","A SAFFRON THREAD","98","CHAMBERS STREET",10007,"Indian"
"722","MIKAKU","85","KENMARE ST",10012,"Japanese"
"723","BONJOUR CREPES & WINE","1442","LEXINGTON AVE",10128,"French"
"724","44 1/2 CAFE","626","10 AVENUE",10036,"American"
"725","EL NUEVO AMANECER RESTAURANT","117","STANTON STREET",10002,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"726","SCREME GELATO BAR","176","WEST   94 STREET",10025,"Ice Cream, Gelato, Yogurt, Ices"
"727","SUNSHINE CINEMA","141143","EAST HOUSTON STREET",10002,"American"
"728","Tum & Yum","917","COLUMBUS AVE",10025,"Thai"
"729","HEALTH KING","526","7 AVENUE",10018,"Juice, Smoothies, Fruit Salads"
"730","THE BOWERY BALLROOM","6","DELANCEY STREET",10002,"American"
"731","DUNKIN' DONUTS","250","EAST HOUSTON STREET",10002,"Donuts"
"732","BISTRO CATERERS","147","WEST   51 STREET",10019,"American"
"733","LIPS RESTAURANT","227","EAST   56 STREET",10022,"American"
"734","DINA RATA AT ANDAZ HOTEL","75","WALL STREET",10005,"American"
"735","HALE & HEARTY SOUP","369","LEXINGTON AVE",10017,"Soups & Sandwiches"
"736","CHEZ MATY ET SOKHNA","2249","ADAM CLAYTON POWELL JR BLVD",10027,"African"
"737","OMAR'S","21","W. 9TH ST",10011,"American"
"738","ZARO'S BREAD BASKET","1","PENNSYLVANIA STATION (AMTRACK)",10001,"Bakery"
"739","DEVIN'S FISH & CHIPS","747","SAINT NICHOLAS AVE",10031,"Seafood"
