"","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION"
"7565","FAMOUS 99 C PIZZA","159","LUDLOW ST",10002,"Other"
"7566","GEBHARD'S BEER CULTURE","228","W 72ND ST",10023,"American"
"7567","MAMA'S PIZZERIA","941","AMSTERDAM AVENUE",10025,"Pizza/Italian"
"7568","THE DESSERT KITCHEN","94","SAINT MARKS PL",10009,"Other"
"7569","MACARON","750","3 AVENUE",10017,"American"
"7570","STARBUCKS","1102","1 AVENUE",10065,"Caf̩/Coffee/Tea"
"7571","POCKET BAR NYC","455","W 48TH ST",10036,"American"
"7572","ANTIQUE GARAGE TRIBECA","313","CHURCH ST",10013,"Turkish"
"7573","JUPIOCA","1457","YORK AVE",10075,"Juice, Smoothies, Fruit Salads"
"7574","MR PURPLE","180","ORCHARD ST",10002,"American"
"7575","LA LINEA LOUNGE","15","FIRST AVENUE",10003,"Bottled beverages, including water, sodas, juices, etc."
"7576","ALOFT HARLEM WXYZ REFUEL","2300","FREDERICK DOUGLAS BOULEVARD",10027,"American"
"7577","YAKITORI TORA","72","KENMARE ST",10012,"Japanese"
"7578","BUFFALO WILD WINGS","253","W 47TH ST",10036,"Chicken"
"7579","SHOREHAM HOTEL","33","W 55TH ST",10019,"American"
"7580","LADY M CONFECTIONS","41","EAST   78 STREET",10075,"Bakery"
"7581","BENOIT BISTRO","60","WEST   55 STREET",10019,"French"
"7582","NATUREWORKS","43-45","W 55 STREET",10019,"American"
"7583","FORK & SPOON","7","WEST   36 STREET",10018,"Delicatessen"
"7584","BASTA","62","E 34TH ST",10016,"Jewish/Kosher"
"7585","LOTOS CLUB GRILL ROOM","5","EAST   66 STREET",10065,"American"
"7586","ANGELA'S SOCIAL ADULT DAY CARE","9","ELIZABETH ST",10013,"Other"
"7587","FOUR SEASONS HOTEL BANQUET KITCHEN","27","BARCLAY ST",10007,"American"
"7588","OLYMPIC CAFE","711","12 AVENUE",10019,"Caf̩/Coffee/Tea"
"7589","STARBUCKS","875","6 AVENUE",10001,"Caf̩/Coffee/Tea"
"7590","VAGO RESTAURANT","509","3RD AVE",10016,"Italian"
"7591","BLUESPOON COFFEE","76","CHAMBERS STREET",10007,"Caf̩/Coffee/Tea"
"7592","CHAMPIGNON CAFE","1389","MADISON AVE",10029,"American"
"7593","THE WEST 79TH STREET BOAT BASIN CAFE","NKA","W 79TH ST AT HUDSON RIVER",10024,"American"
"7594","TAUREAU LA SIRENE","558","BROOME STREET",10013,"French"
"7595","JUBILEE","946948","1ST AVE",10022,"French"
"7596","SWEETGREEN 91ST AND BROADWAY","2460","BROADWAY",10025,"Salads"
"7597","MAPLE","119","W 31ST ST",10001,"Other"
"7598","AVANT GARDEN","130","E 7TH ST",10009,"Vegetarian"
"7599","MUMU","60","E 8TH ST",10003,"Caf̩/Coffee/Tea"
"7600","MILK AND CREAM BAR","159","MOTT ST",10013,"American"
"7601","PRESTO FRESH CAFE","559","LENOX AVE",10037,"Spanish"
"7602","OCAFE","482","AVENUE OF THE AMERICAS",10011,"Caf̩/Coffee/Tea"
"7603","CAFE PATORO","223","FRONT ST",10038,"Bakery"
"7604",NA,"65","E 55TH ST",10022,"Other"
"7605","FIKA","41","W 58TH ST",10019,"Sandwiches/Salads/Mixed Buffet"
"7606","OAXACA TAQUERIA","1709","2ND AVE",10128,"Mexican"
"7607","MI MEXICO BAR & GRILL","2647","FREDERICK DOUGLASS BLVD",10030,"Mexican"
"7608","STARBUCKS","5","E 40TH ST",10016,"Caf̩/Coffee/Tea"
"7609","CASCADE CAFE","900","8 AVENUE",10019,"Caf̩/Coffee/Tea"
"7610","AMELIE","22","WEST    8 STREET",10011,"French"
"7611","MACCHINA","2758","BROADWAY",10025,"Italian"
"7612","NEW SUPER TASTE","26","ELDRIDGE ST",10002,"Chinese"
"7613","CONNOLLY'S","121","WEST   45 STREET",10036,"Irish"
"7614","MOODY'S CAFETERIA","250","GREENWICH STREET",10007,"American"
"7615","KNICKERBOCKER CLUB","2","EAST   62 STREET",10065,"American"
"7616","MCDONALD'S","317","BROADWAY",10007,"American"
"7617","BURGER KING","200","E 125TH ST",10035,"Other"
"7618","POPEYES LOUISIANA KITCHEN","2730","FREDRICK DOUGLAS BOULEVARD",10039,"Chicken"
"7619","FRESCO","34","EAST   52 STREET",10022,"Italian"
"7620","ROOT & BONE","200","E 3RD ST",10009,"American"
"7621","BLOSSOM DU JOUR","259","W 23RD ST",10011,"Vegetarian"
"7622","THE BRAZEN TAVERN","356","W 44TH ST",10036,"American"
"7623","DIXON PLACE","161","CHRYSTIE STREET",10002,"American"
"7624","POPEYES LOUISIANA KITCHEN","96","WALKER STREET",10013,"American"
"7625","MAISON KAYSER","370","LEXINGTON AVE",10017,"Bakery"
"7626","STARBUCKS COFFEE","141","AMSTERDAM AVE",10023,"Caf̩/Coffee/Tea"
"7627","CHARACTERS NYC BAR & GRILL","243","WEST   54 STREET",10019,"Irish"
"7628","1 2 3 BURGER SHOT BEER","738","10 AVENUE",10019,"American"
"7629","SCHNIPPERS","120","CHURCH ST",10007,"American"
"7630","THE STRAND BISTRO","33","W 37TH ST",10018,"American"
"7631","TAIWAN BEAR HOUSE","11","PELL ST",10013,"Asian"
"7632","MCNALLY JACKSON CAFE","52","PRINCE STREET",10012,"Caf̩/Coffee/Tea"
"7633","MR. CRISPY","221","E 23RD ST",10010,"Polish"
"7634","SUBWAY","221","E BROADWAY",10002,"Sandwiches/Salads/Mixed Buffet"
"7635","CHIPOTLE MEXICAN GRILL","864","BROADWAY",10003,"Mexican"
"7636","AVENUE DINER","1074","2ND AVE",10022,"American"
"7637","GREAT BURRITO","100","W 23RD ST",10011,"Mexican"
"7638","TRAPIZZINO","144","ORCHARD ST",10002,"Italian"
"7639","POCION","704","W 177TH ST",10033,"Vegetarian"
"7640","LILLIE'S","249","WEST   49 STREET",10019,"American"
"7641","PIZZA","84","HESTER ST",10002,"Pizza"
"7642","DRINK","1551","BROADWAY",10036,"Caf̩/Coffee/Tea"
"7643","PASTAI","186","9TH AVE",10011,"Italian"
"7644","MIGHTY PIE","20","UNION SQUARE W",10003,"American"
"7645","STAR'S CAFE (WESTIN HOTEL)","270","WEST   43 STREET",10036,"American"
"7646","JUST SALAD","315","PARK AVE S",10010,"Salads"
"7647","DICHTER PHARMACY","4953","B'WAY",10034,"Caf̩/Coffee/Tea"
"7648","CROMPTON ALE HOUSE","159","W 26TH ST",10001,"American"
"7649","FORGROUND","8","E 41ST ST",10017,"Caf̩/Coffee/Tea"
"7650","BENEMON","108","E 4TH ST",10003,"Japanese"
"7651","THE COFFEE POT","403","W 51ST ST",10019,"Caf̩/Coffee/Tea"
"7652","MAXWELL'S","59","READE STREET",10007,"Irish"
"7653","PARIS SANDWICH","217","GRAND ST",10013,"Vietnamese/Cambodian/Malaysia"
"7654","BLARNEY STONE","11","TRINITY PLACE",10006,"Irish"
"7655","IDEAL DELI & GROCERY","4119","BROADWAY",10033,"American"
"7656","THE MEATBALL SHOP","798","9TH AVE",10019,"American"
"7657","MARGAY'S","477","10TH AVE",10018,"Caf̩/Coffee/Tea"
"7658","MCDONALD'S","208","VARICK STREET",10014,"Hamburgers"
"7659","HALE & HEARTY SOUP","849","LEXINGTON AVENUE",10065,"Soups & Sandwiches"
"7660","LA NUEVA JUQUILA RESTAURANT","2106","AMSTERDAM AVE",10032,"Mexican"
"7661","OCEANA","120","WEST   49 STREET",10019,"Seafood"
"7662","BORIS & HORTON","195","AVENUE A",10009,"Caf̩/Coffee/Tea"
"7663","GROM","1796","BROADWAY",10019,"Ice Cream, Gelato, Yogurt, Ices"
"7664","TUNG THONG 181","812","W 181ST ST",10033,"Thai"
"7665","BLUE COCO","153","E 106TH ST",10029,"Sandwiches/Salads/Mixed Buffet"
"7666","STARBUCKS","4","COLUMBUS CIRCLE",10019,"Caf̩/Coffee/Tea"
"7667","KOLMARO","185","SHERMAN AVENUE",10034,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"7668","FARINELLA","788","LEXINGTON AVE",10065,"Pizza/Italian"
"7669",NA,"158","ORCHARD ST",10002,"Other"
"7670","CRC CAFE","1248","YORK AVENUE",10065,"American"
"7671","PERDITION","692","10 AVENUE",10019,"American"
"7672","HILLSTONE MANHATTAN","378","PARK AVENUE SOUTH",10010,"Steak"
"7673","IL BARETTO TO GO","790","11TH AVE",10019,"Pizza/Italian"
"7674","BEAN N BEAN","320","8TH AVE",10001,"Caf̩/Coffee/Tea"
"7675","Out East","509","E 6TH ST",10009,"Other"
"7676","FRIEDMAN'S","132","WEST 31 STREET",10001,"American"
"7677","DR SMOOD","1151","BROADWAY",10001,"American"
"7678","GELARTO","145","AVENUE A",10009,"Ice Cream, Gelato, Yogurt, Ices"
"7679","WENDY'S","2121","3RD AVE",10029,"Hamburgers"
"7680","GO GO CURRY","567","W 125TH ST",10027,"Japanese"
"7681","PROOF COFFEE ROASTERS","28","LIBERTY ST",10005,"Caf̩/Coffee/Tea"
"7682","BEER SHOP","422","AMSTERDAM AVE",10024,"American"
"7683","DOMINIQUE BISTRO / AKASHI","14","CHRISTOPHER ST",10014,"French"
"7684","LA BURDICK CHOCOLATE","156","PRINCE ST",10012,"Nuts/Confectionary"
"7685","SAMBA BRAZIL RESTAURANT","661","9TH AVE",10036,"Brazilian"
"7686","CLUB BONAFIDE","212","E 52ND ST",10022,"French"
"7687","SUMELA","1606","1ST AVE",10028,"Mediterranean"
"7688","O'HANLON'S BAR","349","EAST 14 STREET",10003,"Irish"
"7689",NA,"530","9TH AVE",10018,"Other"
"7690","ANFORA","34","8 AVENUE",10014,"Italian"
"7691","THE MAGICIAN","118","RIVINGTON STREET",10002,"American"
"7692","LE PETIT PARISIEN","32","E 7TH ST",10003,"French"
"7693","FILICORI ZECCHINI","2541","BROADWAY",10025,"Caf̩/Coffee/Tea"
"7694","CASA FINCA (WANTED DESIGN NYC)","6","FULTON ST",10038,"Juice, Smoothies, Fruit Salads"
"7695","WICKED JUICE & KITCHEN","88","W BROADWAY",10007,"Juice, Smoothies, Fruit Salads"
"7696","BARCADE","6","SAINT MARKS PL",10003,"American"
"7697","MARIA PIA","319","WEST   51 STREET",10019,"Italian"
"7698","DUNKIN' DONUTS","3833","BROADWAY",10032,"American"
"7699","POKE SIGNATURE","200","W 41ST ST",10036,"Other"
"7700","GREAT WALL KITCHEN","2238","7 AVENUE",10027,"Chinese"
"7701","JUICE GENERATION","117","WEST   72 STREET",10023,"Juice, Smoothies, Fruit Salads"
"7702","MAYAHUEL","304","E 6TH ST",10003,"Other"
"7703","NYONYA","199","GRAND ST",10013,"Asian"
"7704","MR. CHOW TRIBECCA","121","HUDSON STREET",10013,"Chinese"
"7705","DUANE PARK","308","BOWERY",10012,"American"
"7706","STARBUCKS","1325","ASTOR PLACE",10003,"Caf̩/Coffee/Tea"
"7707","TORTARIA","94","UNIVERSITY PLACE",10003,"Mexican"
"7708","SERENA'S","1268","2ND AVE",10065,"Mediterranean"
"7709","WOGIES BAR & GRILL","44","TRINITY PL",10006,"American"
"7710","GREGORYS COFFEE","762","7TH AVE",10019,"Caf̩/Coffee/Tea"
"7711","BITE","62","W 22ND ST",10010,"Mediterranean"
"7712","FINANCIER PATISSERIE","15","VANDERBILT AVENUE",10017,"American"
"7713","FACES & NAMES","161","WEST   54 STREET",10019,"American"
"7714","ENNJU","20","EAST   17 STREET",10003,"Japanese"
"7715","PEKING DUCK HOUSE","28","MOTT STREET",10013,"Chinese"
"7716","NELLO","696","MADISON AVENUE",10065,"Italian"
"7717","BILLY'S BAKERY","184","9 AVENUE",10011,"Bakery"
"7718","BIRCH COFFEE","432","3RD AVE",10016,"Caf̩/Coffee/Tea"
"7719","LIVE HEALTHY JUICE BAR","2372","AMSTERDAM AVE",10033,"Juice, Smoothies, Fruit Salads"
"7720","FISH CHEEKS","55","BOND ST",10012,"Thai"
"7721","CAFE CON LECHE","2026","2ND AVE",10029,"Spanish"
"7722","DELIZIA 92","1762","2 AVENUE",10128,"Pizza/Italian"
"7723","THE GIN MILL","442","AMSTERDAM AVENUE",10024,"American"
"7724","CITY CAKES","251","WEST   18 STREET",10011,"Bakery"
"7725","DOMINO'S PIZZA","153","E 116TH ST",10029,"Pizza"
"7726","SOCIETY CAFE","52","W 13TH ST",10011,"American"
"7727","GREEN NATURE COFFEE HOUSE","555","W 42 STREET",10036,"Caf̩/Coffee/Tea"
"7728","J.WALTER THOMAS CAFE","466","LEXINGTON AVE",10017,"Caf̩/Coffee/Tea"
"7729","PETER DILLON'S","385","5 AVENUE",10016,"Irish"
"7730","STARBUCKS","90","PARK AVENUE",10016,"Caf̩/Coffee/Tea"
"7731","STARBUCKS","1378","MADISON AVENUE",10128,"Caf̩/Coffee/Tea"
"7732","NIZZA","628","9 AVENUE",10036,"Italian"
"7733","EL VALLE SEAFOOD RESTAURANT","588","LENOX AVE",10037,"Spanish"
"7734","LA LOTERIA","29","7TH AVE S",10014,"Mexican"
"7735","WIKIWIKI","445","ALBEE SQUARE",10004,"Hawaiian"
"7736","MCCOY'S PUB","768","9 AVENUE",10019,"Irish"
"7737","TAL BAGELS","1228","LEXINGTON AVENUE",10028,"Bagels/Pretzels"
"7738","STARBUCKS","444","COLUMBUS AVENUE",10024,"Caf̩/Coffee/Tea"
"7739","BLANK SLATE","121","MADISON AVE",10016,"American"
"7740","GAONNURI","1250","BROADWAY",10001,"Korean"
"7741","MCDONALD'S","4040","BROADWAY",10032,"Hamburgers"
"7742","MEZZOGIORNO","2791","BROADWAY",10025,"Italian"
"7743","DELICIOUS HUANG BAKERY","139","HESTER ST",10002,"Chinese"
"7744","FRESCO GELATERIA","138","2 AVENUE",10003,"Ice Cream, Gelato, Yogurt, Ices"
"7745","PAPA JOHN'S PIZZA SW HARLEM","896","AMSTERDAM AVE",10025,"Other"
"7746","THE RINGSIDE CAFE","28","W 20TH ST",10011,"Caf̩/Coffee/Tea"
"7747","LE PAIN QUOTIDIEN","922","7 AVENUE",10019,"Sandwiches"
"7748","STARBUCKS","593","9 AVENUE",10036,"Caf̩/Coffee/Tea"
"7749","SHAKE SHACK","300","WEST   44 STREET",10036,"Hamburgers"
"7750","TEXAS CHICKEN AND BURGERS","1974","2ND AVE",10029,"Chicken"
"7751","VICTORIO'S PIZZA PLUS","348","WEST  145 STREET",10039,"Pizza"
"7752","NIX","72","UNIVERSITY PL",10003,"Vegetarian"
"7753","CAT LOUNGE","96","GREENWICH ST",10006,"American"
"7754","RED EYE GRILL","888","7 AVENUE",10019,"American"
"7755","ERNST & YOUNG CAFE","5","TIMES SQUARE",10036,"American"
"7756","SANTO DOMINGO BAKERY","93","CLINTON STREET",10002,"Bakery"
"7757","99 CENT FRESH PIZZA","1723","BROADWAY",10019,"Pizza"
"7758","VIEW OF THE WORLD TERRACE CLUB","140","WASHINGTON STREET",10006,"American"
"7759","SUBWAY","1171","2 AVENUE",10065,"Sandwiches"
"7760","RUBY'S CAFE","442","3RD AVE",10016,"American"
"7761","EXECUTIVE DINING ROOM","114","W 47TH ST",10036,"American"
"7762","COVE LOUNGE","325","LENOX AVENUE",10027,"American"
"7763","DELILAH","155","RIVINGTON ST",10002,"Mediterranean"
"7764","COZMUEL TORTILLA","877","10TH AVE",10019,"Mexican"
"7765","NEW YORK UNIVERSITY - LIPTON HALL","33","WASHINGTON SQUARE WEST",10011,"American"
"7766","DIG INN","275","MADISON AVENUE",10016,"American"
"7767","BERGEN HILL","26","ASTOR PLACE",10003,"American"
"7768","DUNKIN' DONUTS, BASKIN ROBBINS","815","10 AVENUE",10019,"Donuts"
"7769","COMO PIZZA","4035","BROADWAY",10032,"Pizza"
"7770","STARBUCKS","100","WEST   33 STREET",10001,"Caf̩/Coffee/Tea"
"7771","BROOKLYN DIAMOND COFFEE","349","WEST BROADWAY",10013,"Other"
"7772","LAVAGNA","545","EAST    5 STREET",10009,"Italian"
"7773","NOREETUH","128","1ST AVE",10009,"American"
"7774","CHICKEN HOUSE","270","WEST   36 STREET",10018,"American"
"7775","BLAKE AND TODD","52","EAST   53 STREET",10022,"American"
"7776","FRESH & CO","1381","6TH AVE",10019,"Salads"
"7777","AUGUST WILSON THEATRE","245","WEST   52 STREET",10019,"American"
"7778","HANE SUSHI","346","1ST AVENUE",10009,"Japanese"
"7779","CREDIT SUISSE (Executive dining)","11","MADISON AVE",10010,"American"
"7780","STARBUCKS","295","MADISON AVENUE",10017,"Caf̩/Coffee/Tea"
"7781","THE FACULTY CLUB (COLUMBIA UNIVERSITY)","630","WEST 168 STREET",10032,"American"
"7782","SUGAR SKETCH","172","E 2ND ST",10009,"Bakery"
"7783","FRESH PIZZA 99 CENTS","1032","6TH AVE",10018,"Pizza"
"7784","IKINARI STEAK","96","8TH AVE",10011,"Other"
"7785","BLUESTONE LANE","435","W 31ST ST",10001,"Australian"
"7786","UJA FEDERATION","130","EAST   59 STREET",10022,"Jewish/Kosher"
"7787","BARCELONA BAR","923","8 AVENUE",10019,"Bottled beverages, including water, sodas, juices, etc."
"7788","LITTLE TASTE OF SEAFOOD","2528","AC POWELL BLVD",10039,"Seafood"
"7789","COFFEE SHOP","28","WEST   32 STREET",10001,"Caf̩/Coffee/Tea"
"7790","ENVY","220","EAST   53 STREET",10022,"Asian"
"7791","KITCHENETTE UPTOWN","1272","AMSTERDAM AVENUE",10027,"American"
"7792","PRET A MANGER","125","CHAMBERS ST",10007,"Soups & Sandwiches"
"7793","BROOKS ATKINSON THEATER","256","WEST   47 STREET",10036,"American"
"7794","THE GEM HOTEL","300","W 22ND ST",10011,"Caf̩/Coffee/Tea"
"7795","SAMMY'S HOUSE OF BBQ","258","W 44TH ST",10036,"Southwestern"
"7796","CHECKERS","77","CHAMBERS ST",10007,"American"
"7797","RED HEN","237","W 14TH ST",10011,"Sandwiches/Salads/Mixed Buffet"
"7798","BEYOND SUSHI","227229","E 14TH ST",10003,"Vegetarian"
"7799","HUNT & FISH CLUB","125","W 44TH ST",10036,"American"
"7800","INNSIDE BRASSERIE","132","W 27TH ST",10001,"Italian"
"7801","NEAPOLITAN EXPRESS","29","2ND AVE",10003,"Other"
"7802","IMLI","1136","1ST AVE",10065,"Indian"
"7803","AL FORNO","1484","2 AVENUE",10075,"Italian"
"7804","TJ BYRNE'S BAR","77","FULTON STREET",10038,"Irish"
"7805","STARBUCKS","585","2 AVENUE",10016,"Caf̩/Coffee/Tea"
"7806","POPEYES LOUISIANA KITCHEN","252","8TH AVE",10011,"Chicken"
"7807","FORDHAM U- RAM CAFE AT LOWENSTEIN HALL","113","W 60TH ST",10023,"American"
"7808","Chow House","181","BLEECKER ST",10012,"Chinese"
"7809","CHIPOTLE MEXICAN GRILL","1288-1290","1ST AVENUE",10021,"Mexican"
"7810","JOE","141","WAVERLY PLACE",10014,"Caf̩/Coffee/Tea"
"7811","PINTO GARDEN","117","W 10TH ST",10011,"Chinese"
"7812","I PIZZA 49","707","9TH AVE",10019,"Pizza"
"7813","MAISON KAYSER","575","LEXINGTON AVE",10022,"Bakery"
"7814","TOMPKINS SQUARE BAGELS","165","AVENUE A",10009,"American"
"7815","THE W HOTEL BANQUETS","201","PARK AVENUE SOUTH",10003,"American"
"7816","AMBER","135","CHRISTOPHER ST",10014,"Japanese"
"7817","STARBUCKS","871","8 AVENUE",10019,"Caf̩/Coffee/Tea"
"7818","72 CIBAO RESTAURANT","72","CLINTON ST",10002,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"7819","MENKUI TEI","58","W 56TH ST",10019,"Japanese"
"7820","HAN","854","10TH AVE",10019,"Chinese"
"7821","JADIS RESTAURANT","42","RIVINGTON STREET",10002,"French"
"7822","SUBWAY","932","COLUMBUS AVE",10025,"Sandwiches/Salads/Mixed Buffet"
"7823","LE BILBOQUET","20","E 60TH ST",10022,"French"
"7824","THE SHADMOOR","1066","2ND AVE",10022,"Seafood"
"7825","NEW LEVEL JUICE","2244","1ST AVE",10029,"Juice, Smoothies, Fruit Salads"
"7826","LENA NYC","137","ELDRIDGE ST",10002,"American"
"7827","IRVING FARM COFFEE ROASTERS","9","GRAND CENTRAL TERMINAL",10017,"Caf̩/Coffee/Tea"
"7828","JAPANESE KITCHEN & SAKE BAR METHOD","746","10TH AVE",10019,"Japanese"
"7829","JAPONICA RESTAURANT","90","UNIVERSITY PL",10003,"Japanese"
"7830","STARBUCKS","151","WEST 34TH STREET",10001,"Caf̩/Coffee/Tea"
"7831","WAGA","22","ST MARKS PLACE",10003,"Caf̩/Coffee/Tea"
"7832","CAFE AMORE'S RESTAURANT","14751","CHAMBERS STREET",10013,"Pizza"
"7833","PICCOLO CAFE","313","AMSTERDAM AVENUE",10023,"Italian"
"7834","ASCENT LOUNGE","10","COLUMBUS CIR",10019,"American"
"7835","PRET A MANAGER","99","PARK AVE",10016,"American"
"7836","INTERNATIONAL BAR","12012","1 AVENUE",10009,"American"
"7837","ROCKWELL'S","105","BROAD ST",10004,"American"
"7838","TRE","173","LUDLOW STREET",10002,"Italian"
"7839","MOTT CORNER","58","KENMARE STREET",10012,"American"
"7840","DUNKIN' DONUTS","42","W 39TH ST",10018,"Donuts"
"7841","SEAMORE'S","161","8TH AVE",10011,"American"
"7842","NY CAKE POPS","642","W 28TH ST",10001,"Bakery"
"7843","TANGS JIANG RESTAURANT","306","SAINT NICHOLAS AVENUE",10027,"Chinese"
"7844","CHEESY PIZZA","2640","BROADWAY",10025,"Pizza"
"7845","NY HOT JUMBO BAGELS","1070","2 AVENUE",10022,"Delicatessen"
"7846","THE PERFECT PINT","123","WEST   45 STREET",10036,"Irish"
"7847","ESPACE","635","W 42ND ST",10036,"American"
"7848","ANGLERS CLUB OF NEW YORK","101","BROAD STREET",10004,"American"
"7849","BLUESTONE LANE","1375","BROADWAY",10018,"Caf̩/Coffee/Tea"
"7850","BEN'S COOKIES","345","7TH AVE",10001,"Bakery"
"7851","JUST SALAD","600","3 AVENUE",10016,"Salads"
"7852","DA UMBERTO RESTAURANT","107","WEST   17 STREET",10011,"Italian"
"7853","BADSHAH MODERN INDIA RESTAURANT","788","9TH AVE",10019,"Other"
"7854","TAL BAGELS DELI","975979","FIRST AVENUE",10022,"Delicatessen"
"7855",NA,"2131","3RD AVE",10035,"Other"
"7856","A CAFE","42","WEST   58 STREET",10019,"Caf̩/Coffee/Tea"
"7857","MOMO SUSHI","239","PARK AVE S",10003,"Japanese"
"7858","HAAGEN-DAZS","1188","1 AVENUE",10065,"Ice Cream, Gelato, Yogurt, Ices"
"7859","THE COFFEE HOUSE","20","WEST   44 STREET",10036,"Caf̩/Coffee/Tea"
"7860","JOE & THE JUICE PARK AVENUE","430","PARK AVE",10022,"Sandwiches/Salads/Mixed Buffet"
"7861","VON","3","BLEECKER STREET",10012,"American"
"7862","MAYA","1191","1 AVENUE",10065,"Mexican"
"7863","DELIVERY ONLY","126","PEARL ST",10005,"American"
"7864","RHONG -TIAM","31","E 21ST ST",10010,"Thai"
"7865","BIENANGY'S RINCONCITO DULCE","1650","SAINT NICHOLAS AVE",10040,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"7866","STARBUCKS","99","WALL STREET",10005,"Caf̩/Coffee/Tea"
"7867","HARU","433","AMSTERDAM AVENUE",10024,"Japanese"
"7868","GUARDIAN LIFE EMPLOYEE CAFETERIA","7","HANOVER SQUARE",10004,"Continental"
"7869","BARRYS BOOTCAMP","135","W 20TH ST",10011,"Juice, Smoothies, Fruit Salads"
"7870","La Colombe","75","VANDAM ST",10013,"Caf̩/Coffee/Tea"
"7871","HARVARD CLUB","27","WEST   44 STREET",10036,"American"
"7872","RAW MKT","61","E 8TH ST",10003,"Hawaiian"
"7873","CAKES 'N SHAPES","466","WEST   51 STREET",10019,"Bakery"
"7874","HOME FRONT DELI","41","E 41ST ST",10017,"American"
"7875","BENNY'S CHAO KING RESTAURANT","906","COLUMBUS AVE",10025,"Chinese"
"7876","BONO'S CAFE","35","EAST   28 STREET",10016,"Delicatessen"
"7877","SKADDEN ARPS, SLATE","4","TIMES SQUARE",10036,"American"
"7878","HAMPTON INN","320","PEARL STREET",10038,"American"
"7879","WOLFGANG'S STEAK HOUSE","4","PARK AVENUE",10016,"Steak"
"7880","TACO BANDITO","325","8TH AVE",10001,"Tex-Mex"
"7881","PURPLE RICE KOREAN KITCHEN","263","W 30TH ST",10001,"Other"
"7882","TACO MAHAL","73","7TH AVE S",10014,"Tex-Mex"
"7883","SPACE MABI","67","1ST AVE",10003,"Korean"
"7884","STARBUCKS","482","WEST BROADWAY",10012,"Caf̩/Coffee/Tea"
"7885","POTBELLY SANDWICH WORKS","41","WEST   14 STREET",10011,"Sandwiches/Salads/Mixed Buffet"
"7886","PRET A MANGER","750","8TH AVE",10036,"Sandwiches/Salads/Mixed Buffet"
"7887","ARTISERIE","459","LEXINGTON AVE",10017,"Sandwiches/Salads/Mixed Buffet"
"7888","GOTHAM COMEDY CLUB","208","WEST   23 STREET",10011,"American"
"7889","PERGOLA DES ARTISTES","252","WEST   46 STREET",10036,"French"
"7890","SUBWAY","739","2ND AVE",10016,"Sandwiches"
"7891","TWO BOOTS TO GO WEST","201","W 11TH ST",10014,"Pizza"
"7892","JORDAN JUICE AND SALAD BAR","4462","BROADWAY",10040,"Juice, Smoothies, Fruit Salads"
"7893","+ 81 GALLERY NEW YORK","167","ELIZABETH ST",10012,"Caf̩/Coffee/Tea"
"7894","SALUMERIA ROSSI PARMACOTTO","283","AMSTERDAM AVENUE",10023,"Italian"
"7895","DEVON AND BLAKELY","1","WORLD FINANCIAL CENTER",10281,"American"
"7896","DOVETAIL","103","WEST   77 STREET",10024,"American"
"7897","VENIERO'S BAKERY","340-342","E 11TH ST",10003,"Bakery"
"7898","JUICE GENERATION","28","E 18TH ST",10003,"Juice, Smoothies, Fruit Salads"
"7899","BOUCHERIE","99","7TH AVE S",10014,"French"
"7900","NOBU NEXT DOOR","105","HUDSON STREET",10013,"Japanese"
"7901","SUSHI KATSUI","357","6TH AVE",10014,"Japanese"
"7902","PANERA BREAD","120","EAST   86 STREET",10028,"American"
"7903","PINCH FOOD DESIGN","545","WEST   27 STREET",10001,"American"
"7904","SHU HAN JU RESTAURANT II","58","3RD AVE",10003,"Chinese"
"7905","SAM WON GARDEN","37","W 32ND ST",10001,"Korean"
"7906","EL LUCHADOR TAQUERIA","132","LUDLOW ST",10002,"Mexican"
"7907","SOLOMON & KUFF'S RUM HOUSE","2331","12TH AVE",10027,"Caribbean"
"7908","HANGAR BAR","115","CHRISTOPHER STREET",10014,"American"
"7909","CAPITAL ONE NYC","299","PARK AVE",10171,"American"
"7910","THE MILL","140","E 52ND ST",10022,"American"
"7911","DUNKIN' DONUTS","1599","ST NICHOLAS AVENUE",10040,"Donuts"
"7912","Kennedy Fried Chicken","2057","ADAM CLAYTON POWELL JR BLVD",10027,"Chicken"
"7913","CONNOLLY'S PUB","43","WEST   54 STREET",10019,"Irish"
"7914","LE PAIN QUOTIDIEN","85","BROAD ST",10004,"American"
"7915","2ND CITY","525","HUDSON ST",10014,"Filipino"
"7916","MOMOFUKU KO","8","EXTRA PL",10003,"Japanese"
"7917","MAGIC HOUR","485","7TH AVE",10018,"Other"
"7918","LUCID CAFE","311","LEXINGTON AVENUE",10016,"Caf̩/Coffee/Tea"
"7919","LA PICCOLA CUCINA","964","AMSTERDAM AVE",10025,"Italian"
"7920","BROADWAY PIZZA","2709","BROADWAY",10025,"Pizza"
"7921","JOE & THE JUICE COLOMBUS","247","COLUMBUS AVE",10023,"Juice, Smoothies, Fruit Salads"
"7922","SOHO PARK","832","8TH AVE",10019,"American"
"7923","PHEBES","359","BOWERY STREET",10003,"American"
