"","CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE"
"2798",40365098,"FORLINIS RESTAURANT","MANHATTAN","93","BAXTER STREET","10013","2123496779","Italian",41988,"Violations were cited in the following area(s).","04M","Live roaches present in facility's food and/or non-food areas.","Critical",9,"A",41988,43138,"Cycle Inspection / Re-inspection"
"2799",41301933,"EAST BROADWAY RESTAURANT","MANHATTAN","94","EAST BROADWAY","10002","2126251080","Chinese",42688,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",13,"A",42688,43138,"Cycle Inspection / Re-inspection"
"2800",50063585,"FASHION STYLE DELI","MANHATTAN","255","W 36TH ST","10018","9178333887","Delicatessen",43070,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",53,"C",43070,43138,"Cycle Inspection / Re-inspection"
"2801",41293456,"MERMAID OYSTER BAR","MANHATTAN","79","MACDOUGAL STREET","10012","2122600100","Seafood",42965,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",16,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2802",41076270,"CITY PERK","MANHATTAN","15","PENN PLAZA","10001","6464572354","CafÃ©/Coffee/Tea",42527,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",27,"B",42527,43138,"Cycle Inspection / Re-inspection"
"2803",41572569,"THE MEATBALL SHOP","MANHATTAN","64","GREENWICH AVENUE","10011","2129827815","American",42166,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",30,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2804",41666656,"JOY CURRY & TANDOOR","MANHATTAN","32","WEST   39 STREET","10018","6465597527","Indian",42401,"No violations were recorded at the time of this inspection.",NA,NA,"Not Applicable",NA,NA,NA,43138,"Administrative Miscellaneous / Initial Inspection"
"2805",40394401,"BAR SIX","MANHATTAN","502","6 AVENUE","10011","2126911363","French",42305,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A",42305,43138,"Cycle Inspection / Re-inspection"
"2806",41269802,"SANCTUARY T","MANHATTAN","337","WEST BROADWAY","10013","2129417832","American",42391,"No violations were recorded at the time of this inspection.",NA,NA,"Not Applicable",NA,NA,NA,43138,"Administrative Miscellaneous / Initial Inspection"
"2807",50069897,"KENNEDY FRIED CHICKEN","MANHATTAN","108","W 145TH ST","10039","2126901200","American",43034,"Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",13,"A",43034,43138,"Pre-permit (Operational) / Initial Inspection"
"2808",41632039,"EL CHEVERE CUCHIFRITOS","MANHATTAN","2000","3 AVENUE","10029","2124273952","Spanish",42052,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",19,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2809",41711975,"SZECHUAN GOURMET","MANHATTAN","21","WEST   39 STREET","10018","2129210233","Chinese",42913,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,"A",42913,43138,"Cycle Inspection / Initial Inspection"
"2810",50044972,"FLASH FACTORY","MANHATTAN","229","W 28TH ST","10001","2129299070","American",42714,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",22,"Not Yet Graded",NA,43138,"Inter-Agency Task Force / Initial Inspection"
"2811",50036191,"GABRIEL KREUTHER","MANHATTAN","37","W 42ND ST","10036","2122575826","French",42626,"Violations were cited in the following area(s).","08B","Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.","Not Critical",7,"A",42626,43138,"Cycle Inspection / Initial Inspection"
"2812",50016142,"LECHONERA LA ISLA","MANHATTAN","254","E 125TH ST","10035","2129961972","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",42810,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",12,"A",42810,43138,"Cycle Inspection / Re-inspection"
"2813",50039842,"DELUXE GREEN BO","MANHATTAN","66","BAYARD ST","10013","2126252359","Chinese",42257,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",42,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"2814",50049317,"CAFE 23","MANHATTAN","919","3RD AVE","10022","2127562216","American",42613,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",9,"A",42613,43138,"Pre-permit (Operational) / Initial Inspection"
"2815",41721364,"SUBWAY","MANHATTAN","228","WEST HOUSTON STREET","10014","2024601483","Sandwiches",42607,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A",42607,43138,"Cycle Inspection / Re-inspection"
"2816",41349736,"THE GRISLY PEAR","MANHATTAN","107","MACDOUGAL STREET","10012","2125293808","American",43034,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",53,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2817",41675506,"ALCALA RESTAURANT","MANHATTAN","246","EAST   44 STREET","10017","2123701866","Spanish",42975,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",10,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2818",41661329,"SINIGUAL RESTAURANT","MANHATTAN","150","East 42nd Street","10017","2122860250","Mexican",42394,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",20,"B",42394,43138,"Cycle Inspection / Re-inspection"
"2819",41046685,"CREPES ON COLUMBUS","MANHATTAN","990","COLUMBUS AVENUE","10025","2122220259","French",41933,"Violations were cited in the following area(s).","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.","Critical",24,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2820",41577920,"BISTRO 61","MANHATTAN","1113","1 AVENUE","10065","2122236220","French",42142,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",35,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2821",41710976,"SWEET MAMA'S SOUL FOOD","MANHATTAN","689","LENOX AVENUE","10037","2129399383","Soul Food",42668,"Violations were cited in the following area(s).","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","Critical",30,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2822",41667090,"COOL FRESH JUICE BAR","MANHATTAN","2661","BROADWAY","10025","6465065554","Juice, Smoothies, Fruit Salads",42958,"Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",12,"A",42958,43138,"Cycle Inspection / Re-inspection"
"2823",40789156,"BROOKDALE","MANHATTAN","455","NORTH END AVENUE","10282","2127912500","American",42212,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",29,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2824",50042187,"DAVID'S CAFE","MANHATTAN","110","SAINT MARKS PL","10009","6466783206","French",42628,"Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",13,"A",42628,43138,"Cycle Inspection / Initial Inspection"
"2825",41357926,"EL PASO TAQUERIA","MANHATTAN","64","EAST   97 STREET","10029","2129961739","Mexican",42738,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",23,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2826",50051433,"KING","MANHATTAN","18","KING ST","10014","9178251618","French",42661,"Violations were cited in the following area(s).","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",26,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"2827",50014836,"EL COCOTERO","MANHATTAN","228","W 18TH ST","10011","2122068903","Spanish",41892,"Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",15,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"2828",41142394,"TAZA CAFE AND DELI","MANHATTAN","350","PARK AVENUE SOUTH","10010","2127791200","American",42303,"Violations were cited in the following area(s).","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",13,"A",42303,43138,"Cycle Inspection / Re-inspection"
"2829",50051650,"RIKO","MANHATTAN","409","8TH AVE","10001","2126437555","Peruvian",43080,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",25,"B",43080,43138,"Cycle Inspection / Re-inspection"
"2830",50018415,"BREAD & BUTTER","MANHATTAN","14","E 44TH ST","10017","2128830444","American",42765,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",43,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2831",41552594,"ASELLINA RISTORANTE","MANHATTAN","420","PARK AVENUE SOUTH","10016","2123172908","Italian",42352,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2832",50013014,"BE JUICE","MANHATTAN","93","3RD AVE","10003","2124886586","Juice, Smoothies, Fruit Salads",42300,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,"A",42300,43138,"Cycle Inspection / Initial Inspection"
"2833",41344869,"SANDWICH HOUSE ITALIAN RESTAURANT","MANHATTAN","17","ANN STREET","10038","2125666886","Sandwiches",42683,"No violations were recorded at the time of this inspection.",NA,NA,"Not Applicable",0,"A",42683,43138,"Cycle Inspection / Re-inspection"
"2834",41508177,"TAL BAGELS","MANHATTAN","2446","BROADWAY","10024","2127120171","American",43031,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",13,"A",43031,43138,"Cycle Inspection / Re-inspection"
"2835",40971149,"OH TAISHO","MANHATTAN","9","ST MARKS PLACE","10003","2126731300","Japanese",42109,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A",42109,43138,"Cycle Inspection / Re-inspection"
"2836",50055665,"ANN INC CAFE","MANHATTAN","7","TIMES SQ","10036","2125413287","American",42776,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",15,"B",42776,43138,"Cycle Inspection / Re-inspection"
"2837",50059446,"ACP COFFEE","MANHATTAN","2286","7TH AVE","10030","6468666966","CafÃ©/Coffee/Tea",43059,"Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",9,"A",43059,43138,"Cycle Inspection / Re-inspection"
"2838",50067685,"BLUESTONE LANE","MANHATTAN","2","E 90TH ST","10128","6468697812","American",43020,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",30,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"2839",41554670,"MORGAN STANLEY EMPLOYEE CAFETERIA","MANHATTAN","1","NEW YORK PLAZA","10004","2122760256","American",42366,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A",42366,43138,"Cycle Inspection / Initial Inspection"
"2840",50034567,"THE DRAFT HOUSE","MANHATTAN","3473","BROADWAY","10031","6465900554","Pizza/Italian",42579,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",13,"A",42579,43138,"Cycle Inspection / Re-inspection"
"2841",41662367,"IM STAR CAFE","MANHATTAN","19","DIVISION STREET","10002","2129668988","Chinese",42146,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",10,"A",42146,43138,"Cycle Inspection / Initial Inspection"
"2842",41549281,"DUNKIN' DONUTS","MANHATTAN","316","WEST   34 STREET","10001","2127602600","Donuts",42440,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A",42440,43138,"Cycle Inspection / Re-inspection"
"2843",41576490,"SILO CAFE","MANHATTAN","31","EAST   32 STREET","10016","2125320639","American",42583,"Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",16,"B",42583,43138,"Cycle Inspection / Re-inspection"
"2844",41174079,"DITCH PLAINS","MANHATTAN","29","BEDFORD STREET","10014","2126330202","Continental",41904,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",8,"A",41904,43138,"Cycle Inspection / Initial Inspection"
"2845",41508164,"DUNKIN' DONUTS","MANHATTAN","215","1 AVENUE","10003","2124755928","Donuts",42964,"Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",33,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2846",41248529,"ROUTE 66 CAFE","MANHATTAN","858","9 AVENUE","10019","2129777600","American",42838,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",22,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2847",50000641,"AMERICAN CUT","MANHATTAN","363","GREENWICH STREET","10013","2122264736","Steak",42864,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",17,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2848",50000501,"THE STOREHOUSE","MANHATTAN","69","WEST 23 STREET","10010","2122438898","American",42157,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A",42157,43138,"Cycle Inspection / Re-inspection"
"2849",50033339,"BITE OF HONG KONG","MANHATTAN","81","CHRYSTIE ST","10002","9176601103","Chinese",42688,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",11,"A",42688,43138,"Cycle Inspection / Re-inspection"
"2850",50002057,"GRITO MEXICAN GRILL","MANHATTAN","1555","ST NICHOLAS AVENUE","10040","2127950700","Mexican",42954,"Violations were cited in the following area(s).","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Critical",60,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2851",50052103,"BABY BRASA","MANHATTAN","129","ALLEN ST","10002","9173748085","Peruvian",42620,"Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",6,NA,NA,43138,"Pre-permit (Operational) / Compliance Inspection"
"2852",50063275,NA,"MANHATTAN","17","S WILLIAM ST","10004","9176912141","Other",1,NA,NA,NA,"Not Applicable",NA,NA,NA,43138,NA
"2853",41422211,"NU SUSHI","MANHATTAN","76","PEARL STREET","10004","2123631668","Japanese",42767,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,"A",42767,43138,"Cycle Inspection / Initial Inspection"
"2854",41690590,"POURING RIBBONS","MANHATTAN","225","AVENUE B","10009","9176566788","American",42375,"Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",12,"A",42375,43138,"Cycle Inspection / Initial Inspection"
"2855",50015808,"SUBWAY","MANHATTAN","321","AMSTERDAM AVE","10023","2123621707","Sandwiches",42340,"Violations were cited in the following area(s).","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.","Critical",10,"A",42340,43138,"Cycle Inspection / Initial Inspection"
"2856",50018662,"AUGUST GATHERINGS","MANHATTAN","266","CANAL ST","10013","2122741535","Chinese",42376,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",12,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2857",50001945,"OOKI SUSHI","MANHATTAN","1575","3 AVENUE","10128","2128283388","Japanese",43045,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,"A",43045,43138,"Cycle Inspection / Re-inspection"
"2858",50066506,"GUACAMOLE","MANHATTAN","768","AMSTERDAM AVE","10025","9172658173","Spanish",43026,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",18,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"2859",40946406,"STARBUCKS","MANHATTAN","111","WORTH STREET","10013","2129648846","CafÃ©/Coffee/Tea",42026,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",8,"A",42026,43138,"Cycle Inspection / Initial Inspection"
"2860",41163622,"POPEYES LOUISIANA KITCHEN","MANHATTAN","601","WEST  191 STREET","10040","2127953614","Chicken",41962,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",18,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2861",41716444,"TOTTO RAMEN","MANHATTAN","366","WEST   52 STREET","10019","2125820052","Japanese",42940,"Violations were cited in the following area(s).","09B","Thawing procedures improper.","Not Critical",23,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2862",41456879,"RAY'S PIZZA","MANHATTAN","1827","2 AVENUE","10128","2123483955","Pizza",42199,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",11,"A",42199,43138,"Cycle Inspection / Re-inspection"
"2863",41291395,"LOUNGE 247 I M O K","MANHATTAN","247","ELDRIDGE STREET","10002","2124324320","American",42136,"Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",18,"B",42136,43138,"Cycle Inspection / Re-inspection"
"2864",41638061,"DUNKIN' DONUTS","MANHATTAN","1416","ST NICHOLAS AVENUE","10033","2129281900","Donuts",42118,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,"A",42118,43138,"Cycle Inspection / Initial Inspection"
"2865",41117739,"COSMIC DINER","MANHATTAN","888","8 AVENUE","10019","2123335888","American",42026,"Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical",11,"A",42026,43138,"Cycle Inspection / Re-inspection"
"2866",41599313,"THE MANCHESTER DINER","MANHATTAN","2800","BROADWAY","10025","2126657712","American",43077,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",21,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2867",41171815,"ANGEL CANDY STORE","MANHATTAN","634","WEST  207 STREET","10034","2127420679","American",42173,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",29,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2868",41308135,"GIMME COFFEE","MANHATTAN","228","MOTT STREET","10012","2122264011","CafÃ©/Coffee/Tea",41969,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",20,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2869",41686665,"NISH NUSH","MANHATTAN","88","READE STREET","10013","2129641318","Middle Eastern",42381,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A",42381,43138,"Cycle Inspection / Re-inspection"
"2870",40582103,"MAMA'S FRIED CHICKEN","MANHATTAN","2158","8 AVENUE","10026","2125314595","Chicken",42347,"Violations were cited in the following area(s).","20F","Current letter grade card not posted.","Not Critical",NA,NA,NA,43138,"Administrative Miscellaneous / Initial Inspection"
"2871",41677480,"FUSION HK BAR-GRILL","MANHATTAN","688","10 AVENUE","10019","2129560185","Indian",41975,"Violations were cited in the following area(s).","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.","Not Critical",NA,NA,NA,43138,"Smoke-Free Air Act / Initial Inspection"
"2872",41715927,"GRUPPO","MANHATTAN","98","AVENUE B","10009","2129952100","Pizza/Italian",42235,"Violations were cited in the following area(s).","22A","Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.","Not Critical",NA,NA,NA,43138,"Administrative Miscellaneous / Initial Inspection"
"2873",50006310,"CLAW DADDY'S","MANHATTAN","185","ORCHARD ST","10002","6465906816","Seafood",42514,"Violations were cited in the following area(s).","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Critical",39,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2874",50009039,"MID WINTER KITCHEN","MANHATTAN","327","2ND AVE","10003","2125058500","American",42198,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",26,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2875",40602863,"STARBUCKS","MANHATTAN","1642","3 AVENUE","10128","2123600425","CafÃ©/Coffee/Tea",42873,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,"A",42873,43138,"Cycle Inspection / Initial Inspection"
"2876",41366512,"STARBUCKS","MANHATTAN","130","FULTON STREET","10038","2129620439","CafÃ©/Coffee/Tea",42040,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,"A",42040,43138,"Cycle Inspection / Initial Inspection"
"2877",41714102,"MARCHA COCINA BAR","MANHATTAN","4055","BROADWAY","10032","2129288272","American",42445,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,"A",42445,43138,"Cycle Inspection / Initial Inspection"
"2878",41699552,"IL GNOCCHI RESTAURANT","MANHATTAN","118","EAST  116 STREET","10029","2122892006","Mexican",42170,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,"A",42170,43138,"Cycle Inspection / Re-inspection"
"2879",40367715,"LA BONNE SOUPE BISTRO","MANHATTAN","48","WEST   55 STREET","10019","2125867650","French",43124,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",55,"Z",43124,43138,"Cycle Inspection / Re-inspection"
"2880",50013447,"DOMINO'S","MANHATTAN","205","ALLEN ST","10002","2126777776","Pizza",41982,"No violations were recorded at the time of this inspection.",NA,NA,"Not Applicable",NA,NA,NA,43138,"Calorie Posting / Re-inspection"
"2881",41020436,"GROUNDED","MANHATTAN","28","JANE STREET","10014","2126470943","CafÃ©/Coffee/Tea",42233,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",21,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"2882",41380885,"MAMA TINA'S PIZZA","MANHATTAN","2649","FRDERICK DOUGLASS BOULEVARD","10030","2123682820","Pizza",43054,"Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",59,NA,NA,43138,"Cycle Inspection / Initial Inspection"
